Date,Code,Name,buy_A_d0종가,buy_B_d1시가,buy_C_d1종가,매도가180일,매도일,ret_A,ret_B,ret_C,peak_180d,Year
2023-07-14,353200,대덕전자,37550.0,37550.0,38100.0,24900.0,2024-04-09,-33.68841544607191,-33.68841544607191,-34.645669291338585,5.5925432756325,2023
2023-07-13,353200,대덕전자,33900.0,35000.0,37550.0,25250.0,2024-04-08,-25.51622418879056,-27.857142857142858,-32.75632490013316,16.96165191740413,2023
2023-07-11,034020,두산에너빌리티,18850.0,19020.0,18390.0,16810.0,2024-04-04,-10.822281167108748,-11.61934805467929,-8.591625883632414,1.7506631299734732,2023
2023-07-07,082740,한화엔진,11810.0,11820.0,11310.0,9700.0,2024-04-02,-17.866215071972903,-17.935702199661584,-14.235190097259064,7.959356477561386,2023
2023-07-05,042660,한화오션,34381.0,35270.0,34470.0,27600.0,2024-03-29,-19.723102876588815,-21.746526793308764,-19.93037423846823,28.943311712864663,2023
2023-07-03,087010,펩트론,13519.0,13519.0,13461.0,26069.0,2024-03-27,92.83231008210666,92.83231008210666,93.66317509843252,237.99097566388045,2023
2023-07-03,098460,고영,16300.0,16300.0,15890.0,18930.0,2024-03-27,16.13496932515337,16.13496932515337,19.131529263687863,47.54601226993864,2023
2023-07-03,103590,일진전기,10040.0,9964.0,10002.0,20700.0,2024-03-27,106.17529880478087,107.74789241268566,106.95860827834434,113.64541832669323,2023
2023-06-30,087010,펩트론,13257.0,13257.0,13519.0,26796.0,2024-03-26,102.12717809459156,102.12717809459156,98.20992676973148,244.67073998642226,2023
2023-06-29,089970,브이엠,18740.0,18600.0,18460.0,15000.0,2024-03-25,-19.957310565635,-19.354838709677423,-18.74322860238353,12.059765208110985,2023
2023-06-29,087010,펩트론,11048.0,11367.0,13257.0,27038.0,2024-03-25,144.73207820419987,137.86399225829155,103.95262879987932,313.586169442433,2023
2023-06-28,089970,브이엠,18150.0,18270.0,18740.0,15310.0,2024-03-22,-15.647382920110198,-16.20142309797482,-18.303094983991464,15.702479338842966,2023
2023-06-26,089030,테크윙,8340.0,8250.0,8230.0,28700.0,2024-03-20,244.12470023980813,247.8787878787879,248.72417982989066,280.09592326139085,2023
2023-06-21,087010,펩트론,9400.0,9303.0,9439.0,23937.0,2024-03-15,154.64893617021275,157.30409545307964,153.59677931984322,386.0957446808511,2023
2023-06-21,089970,브이엠,17990.0,17880.0,17800.0,16090.0,2024-03-15,-10.561423012784877,-10.011185682326618,-9.606741573033705,16.731517509727635,2023
2023-06-20,036930,주성엔지니어링,18590.0,18670.0,17760.0,34050.0,2024-03-14,83.16299085529855,82.37814675950723,91.72297297297298,119.20387305002689,2023
2023-06-20,042660,한화오션,33937.0,34159.0,34914.0,27000.0,2024-03-14,-20.440816807614105,-20.95787347404784,-22.66712493555594,30.63028552906857,2023
2023-06-19,082920,비츠로셀,10800.0,10623.0,10345.0,9245.0,2024-03-13,-14.398148148148149,-12.97185352536948,-10.633156114064768,15.416666666666657,2023
2023-06-15,036930,주성엔지니어링,17770.0,17730.0,17540.0,35900.0,2024-03-11,102.0258863252673,102.48166948674564,104.67502850627137,129.3190770962296,2023
2023-06-14,082920,비츠로셀,9881.0,9962.0,9957.0,8988.0,2024-03-08,-9.037546807003338,-9.777153182091947,-9.731846941849954,26.151199271328807,2023
