Date,YYYYMM,Year,Code,Name,Market,Close,peak_180d,ret_180d,sell_date,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num
2023-01-30,2023-01,2023,007660,이수페타시스,KOSPI,7420.0,467.5067385444744,225.70080862533692,2023-10-24,58.72,86265150020.0,mixed,14.460176991150453,-12.726045883940618,-22.40220782337413,1211571.0,419041.0,1264085.0,247178.0,53.16,12.25,9256900000000.0
2025-04-14,2025-04,2025,445680,큐리옥스바이오시스템즈,KOSDAQ,22000.0,462.7272727272727,416.8181818181818,2026-01-09,46.59,7814752000.0,V_recovery,-5.55023923444976,-13.421052631578945,-39.18481777010998,39128.0,-16641.0,-24242.0,-31620.0,,27.95,1482900000000.0
2025-01-31,2025-01,2025,458870,씨어스,KOSDAQ,4886.0,458.35038886614814,431.0478919361441,2025-10-28,51.64,11783468480.0,box_breakout,18.067754077791708,28.481703986892406,-23.74392220421394,-78263.0,52398.0,-57358.0,51568.0,45.95,25.91,1402500000000.0
2022-08-03,2022-08,2022,009520,포스코엠텍,KOSDAQ,7140.0,454.62184873949576,254.34173669467785,2023-04-25,62.17,132977509140.0,V_recovery,-5.782792665726378,-8.493150684931505,-26.269315673289185,-53432.0,56215.0,-154937.0,51158.0,168.77,6.52,745000000000.0
2022-08-09,2022-08,2022,009520,포스코엠텍,KOSDAQ,7330.0,440.24556616643935,219.23601637107777,2023-05-02,60.28,56495799080.0,V_recovery,5.692307692307685,-3.1029619181946355,-24.17218543046358,150486.0,52527.0,86062.0,47893.0,168.77,6.52,745000000000.0
2020-09-24,2020-09,2020,027360,아주IB투자,KOSDAQ,1755.0,432.7635327635328,304.55840455840456,2021-06-21,79.86,43213507155.0,mixed,13.688212927756659,43.75,-3.2362459546925515,,,,,228.7,7.09,1911700000000.0
2020-09-24,2020-09,2020,027360,아주IB투자,KOSDAQ,1755.0,432.7635327635328,304.55840455840456,2021-06-21,72.75,43213507155.0,mixed,13.688212927756659,43.75,-3.2362459546925515,,,,,228.7,7.09,1911700000000.0
2020-09-24,2020-09,2020,027360,아주IB투자,KOSDAQ,1755.0,432.7635327635328,304.55840455840456,2021-06-21,72.78,43213507155.0,mixed,13.688212927756659,43.75,-3.2362459546925515,,,,,228.7,7.09,1911700000000.0
2022-10-13,2022-10,2022,009520,포스코엠텍,KOSDAQ,7450.0,431.54362416107386,219.46308724832213,2023-07-04,53.16,223059019600.0,mixed,5.5462184873949605,-16.37816245006658,-30.684326710816777,-175592.0,-580.0,-101033.0,-256.0,168.77,6.52,745000000000.0
2022-10-13,2022-10,2022,009520,포스코엠텍,KOSDAQ,7450.0,431.54362416107386,219.46308724832213,2023-07-04,52.38,223059019600.0,mixed,5.5462184873949605,-16.37816245006658,-30.684326710816777,-175592.0,-580.0,-101033.0,-256.0,168.77,6.52,745000000000.0
2022-10-13,2022-10,2022,009520,포스코엠텍,KOSDAQ,7450.0,431.54362416107386,219.46308724832213,2023-07-04,54.13,223059019600.0,mixed,5.5462184873949605,-16.37816245006658,-30.684326710816777,-175592.0,-580.0,-101033.0,-256.0,168.77,6.52,745000000000.0
