Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,SuperScore,StrongScore,예상peak%,슈퍼위너확률%,100%+확률,50%+확률,손절확률%,Score,past_60,past_120,pos_252_high,slope60,기준일
2026-05-14,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),282330,BGF리테일,KOSPI,146000.0,14665700000.0,2.78,1.95,51.5,50.7,54.4,54.0,46.3,41.23,5.873821609862229,31.413141314131423,-1.2178619756427644,0.13457286131316684,2026-05-14
2026-05-13,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+53% (대상승),007070,GS리테일,KOSPI,26400.0,12777494400.0,2.78,1.95,52.6,52.9,54.4,54.7,50.1,46.41,15.536105032822768,20.273348519362177,-2.2222222222222254,0.3013517162594271,2026-05-13
2026-05-13,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+55% (대상승),011780,금호석유화학,KOSPI,140300.0,8595339200.0,2.76,1.93,55.3,52.5,52.7,52.8,48.3,42.83,0.2859185132237263,15.094339622641506,-13.555144793592111,0.035430043295624124,2026-05-13
2026-05-11,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+48% (상승),383220,F&F,KOSPI,86100.0,11151930300.0,2.73,1.92,47.9,51.7,54.6,54.0,49.6,45.56,14.494680851063823,16.194331983805665,-0.5773672055427226,0.055239398046825844,2026-05-11
2026-05-14,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),003230,삼양식품,KOSPI,1439000.0,265305552000.0,2.7,1.89,52.5,51.6,53.8,52.7,49.6,50.35,18.0475799835931,3.8989169675090363,-13.573573573573572,0.3448417215550831,2026-05-14
2026-05-14,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),003490,대한항공,KOSPI,27300.0,83703629100.0,2.68,1.88,51.7,51.3,52.4,53.8,49.2,40.39,10.080645161290324,26.388888888888886,-8.235294117647063,-0.016731908350697385,2026-05-14
2026-05-12,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+64% (대상승),204320,HL만도,KOSPI,60200.0,70824156200.0,2.64,1.86,64.4,54.1,57.3,55.3,59.0,42.59,2.033898305084736,58.42105263157895,-20.580474934036943,-0.07754737609194767,2026-05-12
2026-05-12,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+53% (대상승),003530,한화투자증권,KOSPI,7610.0,55011799630.0,2.58,1.8,53.0,57.2,55.6,53.3,64.2,40.51,19.466248037676603,40.66543438077635,-26.116504854368927,0.07295331750418886,2026-05-12
2026-05-14,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+54% (대상승),022100,포스코DX,KOSPI,35650.0,26995677300.0,2.55,1.79,53.6,54.9,55.6,54.1,61.8,47.23,-13.365735115431354,37.9110251450677,-21.82017543859649,-0.07735792533899169,2026-05-14
2026-05-15,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+51% (대상승),003490,대한항공,KOSPI,26050.0,61703593000.0,2.54,1.79,51.3,49.2,51.8,52.6,49.6,40.13,5.040322580645151,22.58823529411764,-12.436974789915967,-0.01097863228132156,2026-05-15
2026-05-13,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+55% (대상승),089030,테크윙,KOSDAQ,57300.0,63968172900.0,2.5,1.75,54.9,55.2,55.4,53.3,63.4,41.74,32.17993079584775,4.371584699453557,-22.567567567567572,0.24102799724128415,2026-05-13
2026-05-11,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),003490,대한항공,KOSPI,25750.0,49862042500.0,2.49,1.76,51.9,48.3,51.9,52.4,49.7,43.51,6.404958677685957,15.470852017937208,-13.4453781512605,-0.032439485247786386,2026-05-11
2026-05-13,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+52% (대상승),003490,대한항공,KOSPI,25750.0,46875274250.0,2.48,1.75,51.5,48.4,51.8,52.4,50.0,41.67,3.206412825651306,17.579908675799082,-13.4453781512605,-0.03226882414443066,2026-05-13
2026-05-14,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+48% (상승),096530,씨젠,KOSDAQ,32000.0,55704608000.0,2.46,1.73,48.4,54.1,53.5,53.5,61.5,50.25,15.107913669064743,21.442125237191647,-12.68758526603001,0.05876719230528904,2026-05-14
2026-05-11,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+55% (대상승),145020,휴젤,KOSDAQ,295000.0,24364640000.0,2.42,1.71,55.3,52.2,53.1,52.9,59.2,47.2,18.712273641851105,31.11111111111111,-24.744897959183675,0.04331081120306017,2026-05-11
2026-05-14,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+52% (대상승),180640,한진칼,KOSPI,123100.0,39119210400.0,2.4,1.69,51.5,51.5,52.4,52.3,58.2,46.89,-4.20233463035019,25.997952917093148,-30.01705514496873,-0.46298867055585313,2026-05-14
2026-05-11,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+46% (상승),021240,코웨이,KOSPI,92800.0,42316521600.0,2.4,1.69,46.5,49.8,51.5,51.6,54.5,40.87,12.348668280871667,2.7685492801771794,-19.093286835222322,0.054373391370995915,2026-05-11
2026-05-15,- 관망,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+51% (대상승),003690,코리안리,KOSPI,13130.0,22869558270.0,2.37,1.68,50.9,47.7,51.4,52.6,52.4,41.88,-3.313696612665684,16.711111111111123,-14.740259740259742,-0.2572844619684224,2026-05-15
2026-05-14,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+48% (상승),259960,크래프톤,KOSPI,293500.0,78856699500.0,2.34,1.64,47.6,51.6,52.1,51.1,59.8,40.85,13.759689922480622,9.925093632958792,-25.31806615776081,0.25998569262687843,2026-05-14
