n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,filter,sort,mode,combo,set,invest_10m,profit_10m,final_10m,ret_pct_overall
192,584,34,17.708333333333336,71,36.97916666666667,107,55.729166666666664,116.44185558230102,53.17000310678628,62.5,F10_KOSDAQ만,S06_변동성높,daily_1,F10_KOSDAQ만__S06_변동성높,FULL_daily_1,19200000,10208640.596502965,29408640.596502967,53.17000310678628
175,601,33,18.857142857142858,65,37.142857142857146,100,57.14285714285714,120.3178920504092,58.04366590438788,63.42857142857142,F10_KOSDAQ만,S07_slope강한,daily_1,F10_KOSDAQ만__S07_slope강한,FULL_daily_1,17500000,10157641.533267878,27657641.533267878,58.04366590438788
171,605,30,17.543859649122805,55,32.16374269005848,97,56.72514619883041,112.36470601828468,52.9428554252677,61.98830409356725,F10_KOSDAQ만,S08_외인매수강,daily_1,F10_KOSDAQ만__S08_외인매수강,FULL_daily_1,17100000,9053228.277720777,26153228.27772078,52.9428554252677
181,595,34,18.784530386740332,69,38.12154696132597,107,59.11602209944752,122.0734690268442,57.2543609018256,62.430939226519335,F10_KOSDAQ만,S09_52주고점근접,daily_1,F10_KOSDAQ만__S09_52주고점근접,FULL_daily_1,18100000,10363039.323230432,28463039.32323043,57.2543609018256
205,571,40,19.51219512195122,81,39.51219512195122,117,57.073170731707314,122.40979680334416,58.03594043031123,64.39024390243902,F10_KOSDAQ만,S10_랜덤,daily_1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,20500000,11897367.788213803,32397367.788213804,58.03594043031123
134,427,15,11.194029850746269,45,33.582089552238806,67,50.0,105.63988985356735,56.77887272786582,67.16417910447761,F01_회피6_기본,S01_거래대금낮,weekly_2,F01_회피6_기본__S01_거래대금낮,FULL_weekly_2,13400000,7608368.945534019,21008368.94553402,56.77887272786582
118,443,14,11.864406779661016,27,22.88135593220339,53,44.91525423728814,82.68183057668253,35.27802642086161,52.54237288135594,F01_회피6_기본,S02_거래대금높,weekly_2,F01_회피6_기본__S02_거래대금높,FULL_weekly_2,11800000,4162807.11766167,15962807.11766167,35.27802642086161
150,411,14,9.333333333333334,34,22.666666666666664,67,44.666666666666664,74.203106925493,27.469458458915582,56.00000000000001,F01_회피6_기본,S03_점수낮,weekly_2,F01_회피6_기본__S03_점수낮,FULL_weekly_2,15000000,4120418.768837337,19120418.768837336,27.46945845891558
125,436,13,10.4,39,31.2,65,52.0,86.57057362840534,36.501197154752624,64.8,F01_회피6_기본,S04_점수높,weekly_2,F01_회피6_기본__S04_점수높,FULL_weekly_2,12500000,4562649.644344078,17062649.644344077,36.50119715475263
110,451,2,1.818181818181818,20,18.181818181818183,34,30.909090909090907,53.76078857365639,17.49098906680181,51.81818181818182,F01_회피6_기본,S05_변동성낮,weekly_2,F01_회피6_기본__S05_변동성낮,FULL_weekly_2,11000000,1924008.7973481992,12924008.7973482,17.49098906680181
132,429,16,12.12121212121212,43,32.57575757575758,70,53.03030303030303,94.86302918030144,35.75654355733442,60.60606060606061,F01_회피6_기본,S06_변동성높,weekly_2,F01_회피6_기본__S06_변동성높,FULL_weekly_2,13200000,4719863.749568143,17919863.749568142,35.75654355733441
190,371,34,17.894736842105264,74,38.94736842105263,113,59.473684210526315,116.43131842207865,56.36715800917174,67.36842105263158,F01_회피6_기본,S07_slope강한,weekly_2,F01_회피6_기본__S07_slope강한,FULL_weekly_2,19000000,10709760.02174263,29709760.02174263,56.36715800917174
115,446,13,11.304347826086955,29,25.217391304347824,54,46.95652173913044,96.459467743891,50.07027130747354,62.60869565217392,F01_회피6_기본,S08_외인매수강,weekly_2,F01_회피6_기본__S08_외인매수강,FULL_weekly_2,11500000,5758081.200359456,17258081.200359456,50.07027130747353
