Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close,_score_pct,등급,가능성태그,week
2025-03-11,2025,030530,원익홀딩스,KOSDAQ,4880.0,90258571920.0,0.8621771663540274,0.8267643669911219,0.8065766700586274,0.7791869206474765,0.4908061840246304,3.651642351558132,5.298572683737117,-0.089080408769572,6.167740743417122,389.75409836065575,594.672131147541,23900.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-10
2025-03-10,2025,010140,삼성중공업,KOSPI,14530.0,176740885800.0,0.7066320096094684,0.701261677440086,0.7610819772813473,0.717454801615029,0.4744900244657744,2.983890473338333,4.273295306811537,-0.1764585418174666,4.693869973765811,68.6166551961459,123.67515485203027,24500.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-10
2025-03-07,2025,030530,원익홀딩스,KOSDAQ,4680.0,93620699640.0,0.8786843470449451,0.8240883867325665,0.8149642987990782,0.7729906775639728,0.4728537131844363,3.74144249366389,5.438001667935628,-0.0033229119951578,6.42257490452727,433.1196581196581,624.3589743589744,24950.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-09
2025-03-06,2025,030530,원익홀딩스,KOSDAQ,4385.0,51277058670.0,0.8597026168226332,0.7629134346478703,0.7718746223014671,0.7035517955712476,0.4499174789728722,3.595517666795427,5.246462138791757,-0.0706091814203988,6.34743877336197,440.47890535917907,673.0900798175599,23700.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-09
2025-03-05,2025,030530,원익홀딩스,KOSDAQ,4630.0,144339277700.0,0.8717594086624799,0.8224288273566864,0.8014825533418608,0.7832460776986641,0.4951954816800868,3.660013057004157,5.319550806327374,-0.1080026996612453,6.241616678224366,417.2786177105831,632.1814254859612,23950.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-09
2025-02-28,2025,010140,삼성중공업,KOSPI,13950.0,297802995750.0,0.7087109013449285,0.721681633197871,0.7034522964009173,0.6719043027935298,0.4666568163799239,2.978793817472662,4.29039962038153,-0.2860231799116426,4.753824931549666,77.77777777777777,132.97491039426524,24800.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-08
2025-02-26,2025,030530,원익홀딩스,KOSDAQ,4475.0,59155969225.0,0.8511072737322122,0.8692038418867414,0.8314885799609009,0.731713638762028,0.4964491033389493,3.695717957309751,5.3360853223785965,-0.1873296592097899,6.028827220627376,389.3854748603352,657.5418994413408,21900.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-08
2025-02-25,2025,030530,원익홀딩스,KOSDAQ,4340.0,59013362660.0,0.832564859833978,0.8398399263840314,0.7993462089762438,0.6988823584830551,0.5040206570195089,3.5487593640152073,5.129788389855669,-0.3229923591551902,5.805545313242236,409.2165898617512,681.1059907834101,22100.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-08
2025-02-24,2025,030530,원익홀딩스,KOSDAQ,4340.0,186348537340.0,0.8289302349723667,0.8499612945829318,0.8087481513913704,0.6990363695914599,0.5038041792116853,3.5628724397594977,5.141909377784012,-0.312200005484136,5.770281453665241,440.3225806451613,681.1059907834101,23450.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-08
2025-02-21,2025,030530,원익홀딩스,KOSDAQ,4340.0,101903217360.0,0.8233348137687446,0.8534454024677304,0.7730624587462447,0.7073415980611392,0.5386160933220555,3.446002817109963,4.980779052559263,-0.5053348117417547,5.540267671077169,405.7603686635945,681.1059907834101,21950.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-07
2025-02-19,2025,347700,스피어,KOSDAQ,8080.0,4386623920.0,0.8798725038410121,0.8549057332171992,0.8755697785667296,0.7962551925219811,0.4554686360668497,3.8866086177818655,5.618337856005639,0.1907369832764431,6.521381858075872,-2.846534653465349,113.86138613861388,7850.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-07
2025-02-14,2025,347700,스피어,KOSDAQ,7880.0,14433000120.0,0.8659888986420481,0.8587097905328536,0.8368312245881486,0.748001305282862,0.4814412019082896,3.7599802024969935,5.439871693139228,-0.0743721743875753,6.252682976879032,-6.091370558375631,119.28934010152284,7400.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-06
2025-02-13,2025,347700,스피어,KOSDAQ,8050.0,31891636700.0,0.849265601632186,0.8466620656570353,0.867359579337168,0.8224114190809342,0.5373999718260317,3.610349539067215,5.194811803334073,-0.1748174416311223,5.8056561571917005,-4.099378881987581,114.65838509316768,7720.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2025-06
