Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%,week,하락,대박실패
2023-02-08,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+47% (상승),098460,고영,KOSDAQ,17500.0,6495510000.0,41.14,2.3,47.0,0.5148269274072435,0.6781806131976035,0.6702758963650288,0.4656723170387159,-34.3,7.5,11490.0,2023-11-02,30.597014925373145,18.24324324324325,-7.161803713527847,-18.414918414918414,0.3338078519380077,-1.1299435028248594,2023,2023-02,51.5,67.8,67.0,46.6,2023-06,1,1
2023-02-08,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+55% (대상승),100790,미래에셋벤처투자,KOSDAQ,6080.0,26032985280.0,56.02,2.28,54.8,0.5585108797328296,0.6691741592310027,0.6828599347145492,0.5415306284625593,-24.3,12.7,4605.0,2023-11-02,34.364640883977906,-7.175572519083973,-40.6829268292683,-47.35930735930736,0.2039799002179016,0.0,2023,2023-02,55.9,66.9,68.3,54.2,2023-06,1,0
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+55% (대상승),100790,미래에셋벤처투자,KOSDAQ,6050.0,8713228150.0,45.0,2.44,55.5,0.6063638377921877,0.6432624146996884,0.689420203315759,0.5145839783929277,-21.7,13.2,4740.0,2023-11-03,30.6695464362851,-5.616224648985957,-39.317953861584755,-47.61904761904761,0.2517284189363582,-2.261712439418418,2023,2023-02,60.6,64.3,68.9,51.5,2023-06,1,0
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+51% (대상승),099320,쎄트렉아이,KOSDAQ,43000.0,11307366000.0,41.78,2.4,50.7,0.567429378338831,0.6930100981078664,0.6759663435372117,0.5104079279761113,-36.5,13.5,27300.0,2023-11-03,55.2346570397112,21.46892655367232,10.824742268041245,-19.324577861163228,0.6217634684900061,-2.934537246049662,2023,2023-02,56.7,69.3,67.6,51.0,2023-06,1,0
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+53% (대상승),098460,고영,KOSDAQ,17520.0,3996977760.0,41.44,2.35,52.5,0.522241783920131,0.6785114508875855,0.667191281670322,0.4528719446553566,-33.7,7.4,11610.0,2023-11-03,26.043165467625904,22.090592334494772,-6.058981233243966,-14.327628361858192,0.3557206399664632,-1.016949152542368,2023,2023-02,52.2,67.9,66.7,45.3,2023-06,1,1
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+23% (상승),336260,두산퓨얼셀,KOSPI,35850.0,66798910650.0,49.23,2.21,23.5,0.6380225608677128,0.4922014994185983,0.546300482892135,0.4926481661737163,-50.8,4.0,17640.0,2023-11-03,-1.1034482758620734,-10.262828535669588,0.1396648044692749,-14.744351961950064,-0.1242460483414898,-4.400000000000004,2023,2023-02,63.8,49.2,54.6,49.3,2023-06,1,1
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+44% (상승),028670,팬오션,KOSPI,6000.0,19669290000.0,40.84,2.19,43.8,0.5492215941973982,0.6512818418423055,0.6364936025813733,0.5334525710784437,-28.7,14.5,4275.0,2023-11-03,8.499095840867987,7.526881720430101,-6.8322981366459645,-28.486293206197853,0.2313417084524606,-6.542056074766355,2023,2023-02,54.9,65.1,63.6,53.3,2023-06,1,0
2023-02-09,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+33% (상승),002790,아모레퍼시픽홀딩스,KOSPI,44600.0,29163315600.0,42.86,1.73,32.9,0.3929141670375884,0.6350364711445659,0.6097478048430274,0.5055898148444132,-33.2,1.2,29800.0,2023-11-03,43.408360128617375,24.755244755244753,-7.276507276507271,-14.230769230769235,0.5749976432061942,0.0,2023,2023-02,39.3,63.5,61.0,50.6,2023-06,1,1
2023-02-10,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+50% (대상승),032350,롯데관광개발,KOSPI,15500.0,45794006000.0,43.81,2.68,50.5,0.6415624846737059,0.7235746497038694,0.6796512679896949,0.5028332484446283,-22.3,14.1,12050.0,2023-11-06,34.78260869565217,31.914893617021267,-13.407821229050276,-19.060052219321143,0.4665992136844998,0.0,2023,2023-02,64.2,72.4,68.0,50.3,2023-06,1,0
2023-02-10,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+41% (상승),099320,쎄트렉아이,KOSDAQ,44050.0,59022771200.0,54.08,2.43,40.6,0.5892352228401944,0.68322598327442,0.6677325762877152,0.5176108467257244,-35.6,0.9,28350.0,2023-11-06,59.02527075812274,22.022160664819943,12.65984654731458,-17.354596622889307,0.6667186821335276,-9.733606557377051,2023,2023-02,58.9,68.3,66.8,51.8,2023-06,1,1
