n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,final,ret_pct,profit,filter,sort,mode,combo,set
31,136,7,22.58064516129032,10,32.25806451612903,21,67.74193548387096,142.3355899670569,104.28445906075576,70.96774193548387,42328182.308834285,323.2818230883429,32328182.308834285,F04_외인상위25,S08_외인매수강,weekly_3,F04_외인상위25__S08_외인매수강,OOS_weekly_3
29,138,2,6.896551724137931,7,24.137931034482758,17,58.620689655172406,99.4782970795456,60.41126438088061,68.96551724137932,27519266.670455378,175.19266670455374,17519266.670455378,F04_외인상위25,S09_52주고점근접,weekly_3,F04_외인상위25__S09_52주고점근접,OOS_weekly_3
31,136,3,9.67741935483871,10,32.25806451612903,22,70.96774193548387,104.64009763230577,65.38430586378516,74.19354838709677,30269134.8177734,202.69134817773403,20269134.8177734,F04_외인상위25,S10_랜덤,weekly_3,F04_외인상위25__S10_랜덤,OOS_weekly_3
37,197,5,13.513513513513514,14,37.83783783783784,26,70.27027027027027,107.94029766236793,64.64355038371673,78.37837837837837,33918113.641975194,239.18113641975194,23918113.641975194,F05_slope05_For양,S01_거래대금낮,weekly_3,F05_slope05_For양__S01_거래대금낮,OOS_weekly_3
30,204,7,23.333333333333332,7,23.333333333333332,15,50.0,97.85833031796784,42.93212652302997,46.666666666666664,22879637.956908993,128.79637956908994,12879637.956908993,F05_slope05_For양,S02_거래대금높,weekly_3,F05_slope05_For양__S02_거래대금높,OOS_weekly_3
26,208,3,11.538461538461538,3,11.538461538461538,11,42.30769230769231,71.89645900727746,21.755237546046352,46.15384615384615,15656361.761972051,56.56361761972051,5656361.761972051,F05_slope05_For양,S03_점수낮,weekly_3,F05_slope05_For양__S03_점수낮,OOS_weekly_3
36,198,4,11.11111111111111,13,36.11111111111111,24,66.66666666666666,105.30133551359401,56.281984352133044,72.22222222222221,30261514.366767894,202.61514366767895,20261514.366767894,F05_slope05_For양,S04_점수높,weekly_3,F05_slope05_For양__S04_점수높,OOS_weekly_3
43,191,8,18.6046511627907,17,39.53488372093023,27,62.7906976744186,112.4739534981206,71.11540604328665,76.74418604651163,40579624.59861326,305.79624598613265,30579624.598613262,F05_slope05_For양,S05_변동성낮,weekly_3,F05_slope05_For양__S05_변동성낮,OOS_weekly_3
29,205,5,17.24137931034483,8,27.586206896551722,17,58.620689655172406,101.64122704347143,51.04367577024187,62.06896551724138,24802665.973370142,148.02665973370145,14802665.973370142,F05_slope05_For양,S06_변동성높,weekly_3,F05_slope05_For양__S06_변동성높,OOS_weekly_3
34,200,9,26.47058823529412,11,32.35294117647059,19,55.88235294117647,115.89351182066136,73.3518065262821,64.70588235294117,34939614.21893592,249.3961421893592,24939614.21893592,F05_slope05_For양,S07_slope강한,weekly_3,F05_slope05_For양__S07_slope강한,OOS_weekly_3
38,196,9,23.684210526315788,15,39.473684210526315,28,73.68421052631578,150.5635293566377,100.72092853446054,76.31578947368422,48273952.84309501,382.73952843095014,38273952.84309501,F05_slope05_For양,S08_외인매수강,weekly_3,F05_slope05_For양__S08_외인매수강,OOS_weekly_3
33,201,8,24.242424242424242,8,24.242424242424242,16,48.484848484848484,103.19696628831183,58.19918522065518,54.54545454545454,29205731.122816212,192.05731122816215,19205731.122816212,F05_slope05_For양,S09_52주고점근접,weekly_3,F05_slope05_For양__S09_52주고점근접,OOS_weekly_3
36,198,5,13.88888888888889,11,30.555555555555557,23,63.888888888888886,106.43805680532623,60.83477145493612,72.22222222222221,31900517.723777,219.00517723777,21900517.723777,F05_slope05_For양,S10_랜덤,weekly_3,F05_slope05_For양__S10_랜덤,OOS_weekly_3
34,202,0,0.0,10,29.411764705882355,23,67.64705882352942,75.06993647751464,38.55899486864813,70.58823529411765,23110058.255340364,131.10058255340365,13110058.255340364,F06_외인기관동시매수,S01_거래대금낮,weekly_3,F06_외인기관동시매수__S01_거래대금낮,OOS_weekly_3
28,208,3,10.714285714285714,6,21.428571428571427,12,42.857142857142854,88.35393970935057,47.58773282081457,46.42857142857143,23324565.189828083,133.24565189828084,13324565.189828083,F06_외인기관동시매수,S02_거래대금높,weekly_3,F06_외인기관동시매수__S02_거래대금높,OOS_weekly_3
31,205,3,9.67741935483871,6,19.35483870967742,15,48.38709677419355,74.31404999137712,30.36987542515651,54.83870967741935,19414661.38179852,94.14661381798521,9414661.38179852,F06_외인기관동시매수,S03_점수낮,weekly_3,F06_외인기관동시매수__S03_점수낮,OOS_weekly_3
37,199,1,2.7027027027027026,12,32.432432432432435,25,67.56756756756756,86.48097900564547,43.12456114898447,75.67567567567568,25956087.625124253,159.56087625124252,15956087.625124253,F06_외인기관동시매수,S04_점수높,weekly_3,F06_외인기관동시매수__S04_점수높,OOS_weekly_3
39,197,4,10.256410256410255,15,38.46153846153847,25,64.1025641025641,109.99459223615719,70.55921876491153,71.7948717948718,37518095.3183155,275.18095318315494,27518095.3183155,F06_외인기관동시매수,S05_변동성낮,weekly_3,F06_외인기관동시매수__S05_변동성낮,OOS_weekly_3
28,208,0,0.0,4,14.285714285714285,12,42.857142857142854,56.639582474195855,11.316973853693337,50.0,13168752.679034133,31.687526790341323,3168752.6790341325,F06_외인기관동시매수,S06_변동성높,weekly_3,F06_외인기관동시매수__S06_변동성높,OOS_weekly_3
