Date,Code,Name,Market,Close,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,Month,YYYYMM
2020-08-03,051915,LG화학우,KOSPI,311000.0,51.18,146112154000.0,persistent_uptrend,66.25000000000001,33.33333333333333,,-5.338078291814952,10.49982152588728,-11.392405063291145,68.48874598070739,34.40514469453375,2021-04-27,418000.0,,,,,,0.4,1304800000000.0,2020,8,2020-08
2020-08-03,008930,한미사이언스,KOSPI,46574.0,52.21,295296159510.0,persistent_uptrend,41.37380758182913,21.26171067039786,,-8.658494672929319,5.668092542953131,-16.47424631607408,99.7552282389316,48.47339717438914,2021-04-27,69150.0,58340.0,-28173.0,94778.0,-51182.0,19.5,2.38,2308200000000.0,2020,8,2020-08
2020-08-03,038500,삼표시멘트,KOSDAQ,3990.0,56.71,24942212190.0,pullback_recovery,-11.843711843711846,6.962962962962971,,-11.843711843711846,-1.2734953855195685,-19.358974358974358,53.63408521303259,43.10776942355889,2021-04-27,5710.0,,,,,34.89,1.8,1423400000000.0,2020,8,2020-08
2020-08-03,051915,LG화학우,KOSPI,311000.0,54.73,146112154000.0,persistent_uptrend,66.25000000000001,33.33333333333333,,-5.338078291814952,10.49982152588728,-11.392405063291145,68.48874598070739,34.40514469453375,2021-04-27,418000.0,,,,,,0.4,1304800000000.0,2020,8,2020-08
2020-08-03,039200,오스코텍,KOSDAQ,27032.0,54.56,20280163296.0,mixed,7.419272168118907,25.537862526830722,,-17.82446738988368,2.4024688036567468,-26.02600967193831,155.35291506362827,48.390796093518794,2021-04-27,40113.0,8377.0,-173618.0,-143027.0,323129.0,29.1,9.04,1616400000000.0,2020,8,2020-08
2020-08-03,008930,한미사이언스,KOSPI,46574.0,56.11,295296159510.0,persistent_uptrend,41.37380758182913,21.26171067039786,,-8.658494672929319,5.668092542953131,-16.47424631607408,99.7552282389316,48.47339717438914,2021-04-27,69150.0,58340.0,-28173.0,94778.0,-51182.0,19.5,2.38,2308200000000.0,2020,8,2020-08
2020-08-03,038500,삼표시멘트,KOSDAQ,3990.0,58.54,24942212190.0,pullback_recovery,-11.843711843711846,6.962962962962971,,-11.843711843711846,-1.2734953855195685,-19.358974358974358,53.63408521303259,43.10776942355889,2021-04-27,5710.0,,,,,34.89,1.8,1423400000000.0,2020,8,2020-08
2020-08-03,038500,삼표시멘트,KOSDAQ,3990.0,56.75,24942212190.0,pullback_recovery,-11.843711843711846,6.962962962962971,,-11.843711843711846,-1.2734953855195685,-19.358974358974358,53.63408521303259,43.10776942355889,2021-04-27,5710.0,,,,,34.89,1.8,1423400000000.0,2020,8,2020-08
2020-08-03,051915,LG화학우,KOSPI,311000.0,57.63,146112154000.0,persistent_uptrend,66.25000000000001,33.33333333333333,,-5.338078291814952,10.49982152588728,-11.392405063291145,68.48874598070739,34.40514469453375,2021-04-27,418000.0,,,,,,0.4,1304800000000.0,2020,8,2020-08
2020-08-03,008930,한미사이언스,KOSPI,46574.0,59.7,295296159510.0,persistent_uptrend,41.37380758182913,21.26171067039786,,-8.658494672929319,5.668092542953131,-16.47424631607408,99.7552282389316,48.47339717438914,2021-04-27,69150.0,58340.0,-28173.0,94778.0,-51182.0,19.5,2.38,2308200000000.0,2020,8,2020-08
2020-08-05,213420,덕산네오룩스,KOSDAQ,38950.0,58.61,31466147000.0,box_breakout,12.752721617418361,19.24342105263157,,-2.815013404825739,2.1530379429662445,-12.023460410557185,27.08600770218228,11.424903722721446,2021-04-29,43400.0,224498.0,161355.0,279820.0,16767.0,21.45,2.5,1141000000000.0,2020,8,2020-08
2020-08-05,178920,PI첨단소재,KOSPI,35400.0,58.74,18207565200.0,V_recovery,2.8875379939209633,-12.87001287001287,,-18.433734939759038,-0.5438420121185668,-25.14619883040936,46.89265536723164,37.994350282485875,2021-04-29,48850.0,-41877.0,224496.0,-79296.0,570582.0,22.97,2.27,807600000000.0,2020,8,2020-08
2020-08-05,213420,덕산네오룩스,KOSDAQ,38950.0,62.78,31466147000.0,box_breakout,12.752721617418361,19.24342105263157,,-2.815013404825739,2.1530379429662445,-12.023460410557185,27.08600770218228,11.424903722721446,2021-04-29,43400.0,224498.0,161355.0,279820.0,16767.0,21.45,2.5,1141000000000.0,2020,8,2020-08
2020-08-05,039030,이오테크닉스,KOSDAQ,120000.0,55.48,33024360000.0,persistent_uptrend,38.970588235294116,3.8461538461538547,,-2.8277634961439535,5.337039926125889,-20.91007583965331,13.583333333333325,-2.2499999999999964,2021-04-29,117300.0,-2474.0,18411.0,-67622.0,135429.0,123.39,10.26,7059100000000.0,2020,8,2020-08
2020-08-07,051915,LG화학우,KOSPI,428500.0,57.26,237921197000.0,new_high_240,143.13725490196077,76.30331753554502,,0.0,10.770542535853632,-11.392405063291145,22.287047841306883,-0.4667444574095736,2021-05-03,426500.0,,,,,,0.4,1304800000000.0,2020,8,2020-08
2020-08-07,290650,엘앤씨바이오,KOSDAQ,45733.0,53.84,10717391351.0,new_high_240,61.2930402930403,191.6092715231788,,0.0,2.149546670753669,-30.95478804692827,13.410447598014553,-33.08989132573853,2021-05-03,30600.0,26219.0,-27757.0,59341.0,-37613.0,,8.38,1842000000000.0,2020,8,2020-08
2020-08-10,032830,삼성생명,KOSPI,55300.0,66.89,173330273900.0,sideways,8.960176991150437,-27.466863033873345,,-33.265582655826556,0.24693962346445508,-12.426035502958577,60.759493670886066,51.1754068716094,2021-05-04,83600.0,327711.0,87415.0,476615.0,202325.0,31.66,1.04,72900000000000.0,2020,8,2020-08
2020-08-10,032830,삼성생명,KOSPI,55300.0,66.11,173330273900.0,sideways,8.960176991150437,-27.466863033873345,,-33.265582655826556,0.24693962346445508,-12.426035502958577,60.759493670886066,51.1754068716094,2021-05-04,83600.0,327711.0,87415.0,476615.0,202325.0,31.66,1.04,72900000000000.0,2020,8,2020-08
2020-08-10,032830,삼성생명,KOSPI,55300.0,73.02,173330273900.0,sideways,8.960176991150437,-27.466863033873345,,-33.265582655826556,0.24693962346445508,-12.426035502958577,60.759493670886066,51.1754068716094,2021-05-04,83600.0,327711.0,87415.0,476615.0,202325.0,31.66,1.04,72900000000000.0,2020,8,2020-08
