rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
past_120>=50 AND marcap<=200bn AND price_low<=5000won,combo3,101,0.8613861386138614,1.2164007329774675,20,,,,False,hit_10,,,
KOSPI AND past_120>=50 AND marcap<=200bn,combo3,95,0.9473684210526315,1.3378200438917336,19,,,,False,hit_10,,,
is_first_pullback AND chart=persistent_uptrend AND marcap<=200bn,combo3,97,0.8762886597938144,1.2374452296020333,16,,,,False,hit_10,,,
s1>=90 AND chart=box_breakout AND pos252_top10,combo3,116,0.8620689655172413,1.2173649824685315,14,,,,False,hit_10,,,
s10>=70 AND KOSDAQ AND marcap<=200bn,combo3,107,0.7663551401869159,1.3346914134038455,56,0.8928571428571429,1.5008972755451628,183.2789133045032,True,hit_20,,,
KOSDAQ AND rs>=1.1 AND marcap<=200bn,combo3,116,0.75,1.306207145434861,65,0.8923076923076924,1.4999736464525197,172.87716518133254,True,hit_20,,,
s2>=90 AND chart=V_recovery AND pos252_top10,combo3,115,0.7913043478260869,1.3781431911254765,25,0.84,1.412044156832889,76.8879969346785,True,hit_20,,,
s12>=80 AND KOSDAQ AND price_low<=5000won,combo3,151,0.7748344370860927,1.3494590376678033,30,0.8333333333333334,1.4008374571754854,93.64020088765261,True,hit_20,,,
s12>=80 AND KOSDAQ AND marcap<=200bn,combo3,148,0.7567567567567568,1.3179747773757156,51,0.803921568627451,1.351396135157527,118.83739541169213,True,hit_20,,,
s12>=80 AND past_60>=30 AND marcap<=200bn,combo3,105,0.7714285714285715,1.3435273495901427,35,0.7714285714285715,1.2967752460710207,112.76101261406444,True,hit_20,,,
cup_and_handle_detected AND chart=persistent_uptrend AND rs<=0.95,combo3,82,0.7682926829268293,1.3380658562991259,43,0.7674418604651163,1.2900735652127726,68.33800865726485,True,hit_20,,,
chart=box_breakout AND marcap<=200bn AND price_low<=5000won,combo3,118,0.788135593220339,1.3726244579145996,43,0.7674418604651163,1.2900735652127726,72.81950044456325,True,hit_20,,,
