Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num
2024-02-13,178320,서진시스템,KOSDAQ,21450.0,2024-11-08,29450.0,37.3,69.0,익절,50%+,41.7,0,63.2,60377159700.0,mixed,7.748455923638398,23.806451612903224,15.951661631419945,-8.619047619047615,1.1988379179602109,-11.962224554039869,,,,5.89
2024-02-08,033160,엠케이전자,KOSDAQ,12940.0,2024-11-07,7750.0,-40.1,15.9,손절,일반,54.7,1,54.18,11147370040.0,mixed,2.6427962489343537,-13.505747126436784,-20.15915119363395,-30.28372900984366,0.78062067888195,-11.888111888111885,,,570.0,1.94
2024-02-06,083450,GST,KOSDAQ,17239.0,2024-11-05,15640.0,-9.3,78.8,중립,50%+,41.2,0,52.07,68104014142.0,persistent_uptrend,37.69724770642202,11.33447073659224,22.74288518155054,-10.596854896354536,5.105998460829558,-13.432213485823208,49674.0,542173.0,19.79,3.42
2024-02-06,252990,샘씨엔에스,KOSDAQ,8160.0,2024-11-05,5480.0,-32.8,13.7,손절,일반,55.1,1,57.95,85567473600.0,persistent_uptrend,33.904761904761905,27.81818181818181,49.098621420996814,-8.344198174706651,5.055890296567664,-8.775137111517372,,,57.91,5.22
2024-02-06,036830,솔브레인홀딩스,KOSDAQ,53700.0,2024-11-05,50000.0,-6.9,73.6,중립,50%+,38.9,0,51.18,128681202600.0,persistent_uptrend,33.53115727002967,80.72289156626506,69.4915254237288,-5.3627760252365935,3.3182426752669776,-19.558359621451103,-113196.0,69070.0,2.39,0.64
2024-02-06,004490,세방전지,KOSPI,66000.0,2024-11-05,72700.0,10.2,85.6,익절,50%+,36.8,0,60.16,52451652000.0,mixed,15.192307692307683,26.906779661016955,16.9921875,-8.82800608828006,1.5753651922260898,-11.507293354943272,-87407.0,132239.0,5.91,0.49
2024-02-06,004490,세방전지,KOSPI,66000.0,2024-11-05,72700.0,10.2,85.6,익절,50%+,36.9,0,69.4,52451652000.0,mixed,15.192307692307683,26.906779661016955,16.9921875,-8.82800608828006,1.5753651922260898,-11.507293354943272,-87407.0,132239.0,5.91,0.49
2024-02-06,004490,세방전지,KOSPI,66000.0,2024-11-05,72700.0,10.2,85.6,익절,50%+,36.9,0,65.84,52451652000.0,mixed,15.192307692307683,26.906779661016955,16.9921875,-8.82800608828006,1.5753651922260898,-11.507293354943272,-87407.0,132239.0,5.91,0.49
2024-02-06,036830,솔브레인홀딩스,KOSDAQ,53700.0,2024-11-05,50000.0,-6.9,73.6,중립,50%+,38.8,0,55.14,128681202600.0,persistent_uptrend,33.53115727002967,80.72289156626506,69.4915254237288,-5.3627760252365935,3.3182426752669776,-19.558359621451103,-113196.0,69070.0,2.39,0.64
2024-02-06,252990,샘씨엔에스,KOSDAQ,8160.0,2024-11-05,5480.0,-32.8,13.7,손절,일반,55.1,1,57.39,85567473600.0,persistent_uptrend,33.904761904761905,27.81818181818181,49.098621420996814,-8.344198174706651,5.055890296567664,-8.775137111517372,,,57.91,5.22
2024-02-06,252990,샘씨엔에스,KOSDAQ,8160.0,2024-11-05,5480.0,-32.8,13.7,손절,일반,55.3,1,50.39,85567473600.0,persistent_uptrend,33.904761904761905,27.81818181818181,49.098621420996814,-8.344198174706651,5.055890296567664,-8.775137111517372,,,57.91,5.22
2024-02-06,004490,세방전지,KOSPI,66000.0,2024-11-05,72700.0,10.2,85.6,익절,50%+,36.9,0,66.95,52451652000.0,mixed,15.192307692307683,26.906779661016955,16.9921875,-8.82800608828006,1.5753651922260898,-11.507293354943272,-87407.0,132239.0,5.91,0.49
2024-02-05,457190,이수스페셜티케미컬,KOSPI,39040.0,2024-11-04,41850.0,7.2,108.5,익절,100%+,40.1,0,55.35,61523136000.0,mixed,22.47267759562841,-13.171912832929777,,-58.92325315005728,1.9714423780232198,-22.3826714801444,72712.0,-86.0,4100.0,23.31
2024-02-02,402340,SK스퀘어,KOSPI,59500.0,2024-11-01,83900.0,41.0,83.2,익절,50%+,34.4,0,69.08,147569758000.0,new_high_240,13.559322033898313,17.415115005476455,44.08602150537635,0.0,0.6487002018301976,-11.100569259962045,1108237.0,703446.0,17.83,5.65
2024-02-02,402340,SK스퀘어,KOSPI,59500.0,2024-11-01,83900.0,41.0,83.2,익절,50%+,34.7,0,58.3,147569758000.0,new_high_240,13.559322033898313,17.415115005476455,44.08602150537635,0.0,0.6487002018301976,-11.100569259962045,1108237.0,703446.0,17.83,5.65
2024-02-02,402340,SK스퀘어,KOSPI,59500.0,2024-11-01,83900.0,41.0,83.2,익절,50%+,34.7,0,75.8,147569758000.0,new_high_240,13.559322033898313,17.415115005476455,44.08602150537635,0.0,0.6487002018301976,-11.100569259962045,1108237.0,703446.0,17.83,5.65
2024-02-02,402340,SK스퀘어,KOSPI,59500.0,2024-11-01,83900.0,41.0,83.2,익절,50%+,34.4,0,67.34,147569758000.0,new_high_240,13.559322033898313,17.415115005476455,44.08602150537635,0.0,0.6487002018301976,-11.100569259962045,1108237.0,703446.0,17.83,5.65
2024-02-01,088350,한화생명,KOSPI,3355.0,2024-10-31,2960.0,-11.8,13.7,중립,일반,47.3,0,75.99,144009976385.0,box_breakout,12.407407407407401,27.253668763102734,21.88755020080322,-2.724358974358976,-1.0272064002566994,-14.109347442680775,,,7.59,0.3
2024-02-01,139130,iM금융지주,KOSPI,9800.0,2024-10-31,8170.0,-16.6,1.8,중립,일반,25.5,0,69.71,33014661400.0,new_high_240,12.907268170426068,21.75675675675677,15.661103979460854,0.0,0.5384806588136514,-4.941176470588237,198442.0,2144041.0,7.02,0.49
2024-02-01,000370,한화손해보험,KOSPI,5120.0,2024-10-31,4790.0,-6.4,21.7,중립,일반,44.9,0,70.58,163761269760.0,box_breakout,3.0732860520094496,5.953827460510319,1.9883040935672502,-15.339805825242713,-0.4650679022046236,-7.202881152460982,,,3.72,0.41
2024-02-01,039490,키움증권,KOSPI,107600.0,2024-10-31,134600.0,25.1,36.1,익절,일반,27.9,0,56.77,32353275600.0,sideways,11.40552995391706,-4.72906403940887,-3.972194637537241,-11.608775137111515,0.3677995476108946,-9.4488188976378,16467.0,104600.0,10.05,1.6
2024-02-01,039490,키움증권,KOSPI,107600.0,2024-10-31,134600.0,25.1,36.1,익절,일반,27.7,0,68.21,32353275600.0,sideways,11.40552995391706,-4.72906403940887,-3.972194637537241,-11.608775137111515,0.3677995476108946,-9.4488188976378,16467.0,104600.0,10.05,1.6
