rule,type,feat,direction,cut,train_n,train_winner_rate,train_loser_rate,train_winner_lift,train_loser_lift,train_mean_ret,train_median_ret,test_n,test_winner_rate,test_loser_rate,test_winner_lift,test_loser_lift,test_mean_ret,test_median_ret
s12>=80 AND KOSPI AND past_60>=30,combo3,,,,239,0.23430962343096234,0.2510460251046025,1.5178231445339925,1.4397482081459436,18.483608239330703,-4.96341520249802,98,0.22448979591836735,0.25510204081632654,1.0905906917222334,1.3788624384882473,15.977937428705006,4.412705476594443
s12>=80 AND KOSPI AND past_120>=50,combo3,,,,217,0.2350230414746544,0.2073732718894009,1.522444561284137,1.1892850982035041,22.183124539961565,-8.069326884320839,66,0.22727272727272727,0.21212121212121213,1.104110411041104,1.1465450094581062,18.447806579334895,5.798969072164948
s12>=80 AND KOSPI AND past_120<=-20,combo3,,,,106,0.03773584905660377,0.32075471698113206,0.24444725845257692,1.839527348961311,-15.324584863836852,-20.67643924995269,36,0.05555555555555555,0.19444444444444445,0.26989365603226984,1.050999592003264,10.001955766327463,22.771678481087783
s12>=80 AND KOSPI AND pos252_far,combo3,,,,122,0.06557377049180328,0.4344262295081967,0.4247772032126747,2.4914331355989985,-13.025227196078863,-26.418786692759294,96,0.0625,0.1875,0.3036303630363036,1.0134638922888617,-3.2760342657244514,-9.147477675356473
s12>=80 AND KOSPI AND rs>=1.1,combo3,,,,324,0.20987654320987653,0.2993827160493827,1.3595492584306903,1.7169589871114925,13.744141994623702,-11.855897288492862,153,0.21568627450980393,0.21568627450980393,1.0478224293017537,1.1658146734826123,19.288144251758595,2.4096385542168677
s12>=80 AND chart=new_high_240 AND past_60>=30,combo3,,,,203,0.22660098522167488,0.29064039408866993,1.4678877244024202,1.6668217966392407,18.505198826960278,-8.760937954371215,66,0.18181818181818182,0.3787878787878788,0.8832883288328832,2.047401802603761,13.886753956056793,-13.62988792705761
s12>=80 AND chart=new_high_240 AND past_120>=50,combo3,,,,165,0.19393939393939394,0.28484848484848485,1.2563107585926379,1.6336052143538775,9.98048241982676,-8.069326884320839,46,0.2391304347826087,0.41304347826086957,1.1617161716171618,2.2325581395348837,17.214659713346517,-2.9343065693430654
s12>=80 AND chart=new_high_240 AND rs>=1.1,combo3,,,,226,0.24336283185840707,0.25663716814159293,1.576468492011641,1.471813396852439,25.299024393347867,-4.7722718681228065,76,0.2894736842105263,0.32894736842105265,1.4062879972207747,1.7780068285769504,23.047041792482567,-9.196518876875157
s12>=80 AND chart=V_recovery AND slope60<=-1,combo3,,,,135,0.15555555555555556,0.2814814814814815,1.0076659209545116,1.614295460047094,1.717558308973037,-10.498687664041995,60,0.21666666666666667,0.16666666666666666,1.0525852585258526,0.9008567931456548,25.60765961643094,16.870748299319725
s12>=80 AND chart=V_recovery AND rs>=1.1,combo3,,,,153,0.16339869281045752,0.3660130718954248,1.058472606044655,2.0990838799373974,-3.8276093156151854,-22.392776523702032,98,0.2857142857142857,0.12244897959183673,1.388024516737388,0.6618539704743587,36.917418434258366,17.45413316841888
s12>=80 AND chart=persistent_uptrend AND past_120>=50,combo3,,,,98,0.20408163265306123,0.2857142857142857,1.322010683468018,1.6385705797470502,18.603165177093093,-9.375,35,0.11428571428571428,0.22857142857142856,0.5552098066949551,1.2354607448854695,3.3012571295422397,3.943217665615142
s12>=80 AND chart=persistent_uptrend AND rs>=1.1,combo3,,,,126,0.18253968253968253,0.2777777777777778,1.1824651113241718,1.5930547303096323,24.948441809038535,3.5242642624649303,55,0.23636363636363636,0.2545454545454545,1.1482748274827481,1.3758540113497273,42.54960131229212,5.798969072164948
s12>=80 AND past_60>=30 AND past_120>=50,combo3,,,,223,0.19730941704035873,0.3183856502242152,1.2781412706533843,1.8259407581486187,14.055087583082067,-11.412198117069178,90,0.16666666666666666,0.3111111111111111,0.8096809680968096,1.6815993472052224,28.8641389576985,2.741704523010073
s12>=80 AND past_60>=30 AND rs>=1.1,combo3,,,,332,0.22590361445783133,0.28012048192771083,1.463370259561737,1.606490131649593,23.799971551528028,-7.003891050583658,151,0.2251655629139073,0.3443708609271523,1.0938736257731734,1.8613729765658562,25.935222129982648,-6.548279689234185
s12>=80 AND past_120>=50 AND slope60>=1,combo3,,,,293,0.19112627986348124,0.2627986348122867,1.2380878209680006,1.507149389903857,14.987229711421943,-7.003891050583658,106,0.1792452830188679,0.24528301886792453,0.8707889656890216,1.3257892427426619,18.75962637803253,4.152823920265781
s12>=80 AND past_120>=50 AND rs>=1.1,combo3,,,,195,0.24102564102564103,0.35384615384615387,1.561328514885562,2.029306641071347,20.040298889377144,-9.375,92,0.29347826086956524,0.30434782608695654,1.425742574257426,1.645042839657283,33.03074493554681,5.798969072164948
s12>=80 AND past_120<=-20 AND pos252_far,combo3,,,,116,0.034482758620689655,0.3275862068965517,0.22337421893080306,1.8787059233306695,-14.539197966836145,-20.67643924995269,73,0.2465753424657534,0.2191780821917808,1.1978841719788416,1.1846883855066146,41.8356662140341,26.247798003523194
s12>=80 AND slope60<=-1 AND pos252_far,combo3,,,,86,0.023255813953488372,0.37209302325581395,0.15064772904635557,2.133952382926391,-16.621097247089455,-22.22088714826527,45,0.13333333333333333,0.2,0.6477447744774477,1.081028151774786,18.204003484748064,1.6200294550810017
s12>=80 AND slope60<=-1 AND rs>=1.1,combo3,,,,98,0.21428571428571427,0.32653061224489793,1.388111217641419,1.872652091139486,6.390447685964246,-8.787878787878787,61,0.19672131147540983,0.22950819672131148,0.9556890115241031,1.2405241085940164,12.240301560848426,6.0220525869380825
is_first_pullback AND cup_and_handle_detected AND gap_support_detected,combo3,,,,94,0.2553191489361702,0.19148936170212766,1.6539197486791375,1.0981909204687677,15.44133062616953,-1.164412941215031,64,0.28125,0.234375,1.3663366336633662,1.266829865361077,19.376642019516645,4.322972490175062
is_first_pullback AND cup_and_handle_detected AND chart=persistent_uptrend,combo3,,,,252,0.25,0.12698412698412698,1.6194630872483222,0.7282535909986889,25.60935334498585,7.751937984496124,94,0.22340425531914893,0.20212765957446807,1.085317042342532,1.0925284512617515,21.301270229370623,8.24742268041237
is_first_pullback AND cup_and_handle_detected AND past_60>=30,combo3,,,,435,0.23218390804597702,0.15632183908045977,1.504053074134074,0.8965052827121792,20.554289994766172,3.615819209039548,166,0.2469879518072289,0.20481927710843373,1.1998886635651516,1.107077022901889,21.141352299590547,7.14611884411447
is_first_pullback AND cup_and_handle_detected AND pos252_far,combo3,,,,347,0.0893371757925072,0.27953890489913547,0.5787130340599191,1.6031547891185118,-1.7763427635437314,-18.31578947368421,319,0.23197492163009403,0.22570532915360503,1.1269540747178164,1.2199690741032065,21.369989780448268,4.3409629044988165
is_first_pullback AND new_high_60 AND KOSDAQ,combo3,,,,363,0.2396694214876033,0.12396694214876033,1.5525431249653339,0.7109500449315714,25.78558167396191,3.615819209039548,168,0.30357142857142855,0.22023809523809523,1.4747760490334745,1.1904179052281867,35.051314056590726,14.037666513550757
is_first_pullback AND near_52w_low AND pos252_far,combo3,,,,316,0.08227848101265822,0.26582278481012656,0.5329878514994478,1.5244928811570655,-3.492812294372009,-17.271147912218986,240,0.1875,0.18333333333333332,0.9108910891089108,0.9909424724602203,12.767561554894575,-2.941176470588235
is_first_pullback AND KOSDAQ AND chart=box_breakout,combo3,,,,106,0.25471698113207547,0.16037735849056603,1.6500189945548944,0.9197636744806555,23.71169272085722,2.29010989010989,67,0.29850746268656714,0.14925373134328357,1.4501748682330917,0.8067374266976013,63.513820928896656,29.45159106296547
is_first_pullback AND KOSDAQ AND chart=V_recovery,combo3,,,,130,0.3076923076923077,0.15384615384615385,1.9931853381517812,0.8823072352484117,33.54393498825082,4.598599202078734,82,0.3170731707317073,0.0975609756097561,1.5403686710134428,0.527330805743798,44.59954962456589,21.235521235521233
is_first_pullback AND KOSDAQ AND chart=persistent_uptrend,combo3,,,,138,0.30434782608695654,0.10869565217391304,1.9715202801283924,0.6233692422950734,29.267619452192626,10.989604265466333,53,0.1320754716981132,0.2641509433962264,0.6416339747182265,1.4277730306459435,13.750788100877715,2.8282828282828283
is_first_pullback AND KOSDAQ AND past_60>=30,combo3,,,,237,0.26582278481012656,0.11392405063291139,1.7219607509982158,0.6533540919244567,26.510793584096113,3.8363171355498724,81,0.1111111111111111,0.2962962962962963,0.5397873120645397,1.6015231878144973,5.656861511488048,-6.924979389942291
is_first_pullback AND KOSDAQ AND past_120>=50,combo3,,,,176,0.24431818181818182,0.14772727272727273,1.5826571079926786,0.8472154702101227,19.335343818175076,3.278688524590164,72,0.2916666666666667,0.2777777777777778,1.4169416941694168,1.5014279885760915,34.83898017745494,7.206729537806591
is_first_pullback AND KOSDAQ AND rs>=1.1,combo3,,,,267,0.23220973782771537,0.1947565543071161,1.5042203956463818,1.116928260351922,22.754288427834908,-0.9484774441028875,152,0.2894736842105263,0.19736842105263158,1.4062879972207747,1.0668040971461703,36.24605311663882,17.362045760430686
is_first_pullback AND KOSPI AND pos252_far,combo3,,,,236,0.05084745762711865,0.3008474576271186,0.3293823228301673,1.7253592757082286,-11.192986536626673,-20.263157894736842,174,0.1724137931034483,0.20689655172413793,0.8376010014794583,1.118304984594606,0.7732917196325871,-10.233966672815594
is_first_pullback AND chart=box_breakout AND slope60>=1,combo3,,,,125,0.232,0.16,1.5028617449664432,0.9175995246583482,16.031972366100348,5.900552486187846,45,0.4222222222222222,0.28888888888888886,2.051191785845251,1.5614851081191348,78.9044938426617,42.79475982532751
is_first_pullback AND chart=box_breakout AND rs>=1.1,combo3,,,,93,0.24731182795698925,0.13978494623655913,1.602049505665007,0.8016662513816213,23.970619196157116,-1.0889292196007259,41,0.36585365853658536,0.3902439024390244,1.7773484665539723,2.109323222975192,54.5965864357849,-10.683760683760683
is_first_pullback AND chart=V_recovery AND rs>=1.1,combo3,,,,123,0.2682926829268293,0.18699186991869918,1.7379603863152728,1.0723978184523377,23.6397687048595,4.470202249131214,81,0.2345679012345679,0.08641975308641975,1.1395509921362506,0.4671109297792284,31.243039102421616,16.870748299319725
is_first_pullback AND chart=pullback_recovery AND pos252_far,combo3,,,,90,0.07777777777777778,0.28888888888888886,0.5038329604772558,1.6567769195220174,-11.52591076002899,-20.757126837864,49,0.1836734693877551,0.22448979591836735,0.8923014750454638,1.2133989458696575,7.6617712577967305,4.446742502585315
is_first_pullback AND chart=persistent_uptrend AND past_60>=30,combo3,,,,328,0.27439024390243905,0.11890243902439024,1.7774594860042563,0.681905134559367,28.42308648891343,8.687739463601531,133,0.18796992481203006,0.24812030075187969,0.9131740241693341,1.3411251506980424,15.79343347711567,2.8282828282828283
is_first_pullback AND chart=persistent_uptrend AND slope60>=1,combo3,,,,328,0.27439024390243905,0.11890243902439024,1.7774594860042563,0.681905134559367,28.42308648891343,8.687739463601531,133,0.18796992481203006,0.24812030075187969,0.9131740241693341,1.3411251506980424,15.79343347711567,2.8282828282828283
is_first_pullback AND chart=persistent_uptrend AND pos252_top10,combo3,,,,231,0.2813852813852814,0.12554112554112554,1.8227723059937828,0.7199779820100675,28.572853209296557,7.751937984496124,65,0.12307692307692308,0.2,0.5979182533637979,1.081028151774786,13.554440356245632,3.943217665615142
is_first_pullback AND chart=mixed AND rs>=1.1,combo3,,,,102,0.18627450980392157,0.30392156862745096,1.206658770890907,1.7429892931623032,5.578727293121154,-18.75,53,0.20754716981132076,0.22641509433962265,1.0082819602714987,1.2238054548393802,28.653069793129255,-15.168539325842698
is_first_pullback AND past_60>=30 AND slope60>=1,combo3,,,,556,0.2446043165467626,0.1420863309352518,1.584510646516344,0.8148646857914738,22.594747903115394,4.166666666666666,214,0.21495327102803738,0.22897196261682243,1.0442614354893431,1.2376256877795444,15.552812315073236,2.05761316872428
is_first_pullback AND past_60>=30 AND pos252_top10,combo3,,,,446,0.2399103139013453,0.1547085201793722,1.554103590453547,0.8872529036074275,20.683183380569464,3.8363171355498724,147,0.20408163265306123,0.17687074829931973,0.9914460833838485,0.9560112906851848,16.865060329142388,3.0737704918032787
is_first_pullback AND past_120>=50 AND rs>=1.1,combo3,,,,139,0.20863309352517986,0.302158273381295,1.351494374969823,1.7328768001641468,9.848706796145827,-8.12720848056537,69,0.2463768115942029,0.3188405797101449,1.196919691969197,1.723378212974296,32.73860931694837,14.736842105263156
