Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close
2024-04-25,2024,071970,HD현대마린엔진,KOSPI,16590.0,13964914530.0,0.8088488992492681,0.7772329739658643,0.8032674406083092,0.7170342597864593,0.516619993727465,3.3624236118499793,4.8521179036039825,-0.34576400845609756,5.505389023855354,69.98191681735986,77.51657625075346,28200.0
2024-04-24,2024,071970,HD현대마린엔진,KOSPI,16500.0,61810023000.0,0.7938691808952076,0.7904922063026504,0.8059656744798602,0.7112284422193859,0.523671619277704,3.3259682880640504,4.785281133728087,-0.38993553746988807,5.320333712563556,73.63636363636363,78.18181818181817,28650.0
2024-04-24,2024,232140,와이씨,KOSDAQ,10700.0,450071713900.0,0.8381998818605214,0.851542058793331,0.847489508992231,0.7794276198267218,0.5416394992199002,3.5561232443239916,5.1166545382218,-0.3018527474538262,5.673801322505714,9.906542056074773,114.48598130841123,11760.0
2024-04-24,2024,103590,일진전기,KOSPI,20750.0,51126734250.0,0.7727898017704388,0.6595151798981522,0.7804680727610901,0.7358003399305515,0.5790279874605688,2.930054272998497,4.2263634790278815,-0.6430711846806512,4.832758080401543,46.024096385542165,55.42168674698795,30300.0
2024-04-22,2024,232140,와이씨,KOSDAQ,10140.0,384758690160.0,0.8056798477918595,0.797811886449732,0.8171694007770665,0.7271763624666115,0.5518835405136712,3.327159692799901,4.785541791094815,-0.4878955768580666,5.2973807753502395,14.299802761341219,126.33136094674558,11590.0
2024-04-19,2024,232140,와이씨,KOSDAQ,9820.0,534829802400.0,0.770284546760047,0.7824934269596208,0.7712648413776946,0.7362054020528399,0.5770093153356981,3.10183999142587,4.456646483090077,-0.6413709311951163,4.8177988909219795,18.737270875763755,133.70672097759675,11660.0
2024-04-18,2024,103590,일진전기,KOSPI,20500.0,50755560500.0,0.7397975070216438,0.5685689241363985,0.7442664507066773,0.7155092190293751,0.5286776158406898,2.759157126294827,3.994358986565623,-0.4681031904380215,4.754586991012989,46.34146341463414,50.97560975609756,30000.0
2024-04-18,2024,095610,테스,KOSDAQ,29750.0,62081526500.0,0.8271770406465483,0.7618327033771098,0.778963144203418,0.716050447395617,0.5094723565897784,3.3842986080291713,4.9100966844210445,-0.33629774395424006,5.724408623516592,-41.57983193277312,-2.6890756302521024,17380.0
2024-04-17,2024,095610,테스,KOSDAQ,29300.0,183386912700.0,0.8152636638930153,0.7419898106791162,0.7744172558678865,0.6971497819125584,0.5148855098048005,3.303421943956006,4.790058667276794,-0.4057107293309996,5.578209089906149,-41.91126279863481,2.3890784982935065,17020.0
2024-04-16,2024,095610,테스,KOSDAQ,29550.0,171253479000.0,0.8081823070102773,0.7602462379368168,0.7860150381579296,0.7277400830329989,0.510318730986896,3.3302938541201947,4.8164628561222615,-0.3100984507105524,5.530229415168294,-43.85786802030457,11.336717428087994,16590.0
2024-04-12,2024,257720,실리콘투,KOSDAQ,13760.0,40079894080.0,0.8263019410729079,0.7695347023807725,0.770806625538595,0.7530065153975755,0.542619830483396,3.3187748413616855,4.813526244214492,-0.4362794960832339,5.549920258312099,140.55232558139537,293.8953488372093,33100.0
2024-04-11,2024,010120,LS ELECTRIC,KOSPI,25500.0,90000975000.0,0.7881148659024545,0.708227903077491,0.7174041527085467,0.7411787135304789,0.5565477529728755,3.0309950990863954,4.404791029457174,-0.5829771850948728,5.098409894160167,33.33333333333333,115.29411764705881,34000.0
2024-04-09,2024,000500,가온전선,KOSPI,37750.0,148873240500.0,0.8102545218515692,0.7718153847469602,0.7063028888137524,0.7028638225221345,0.6016132380082395,3.0915630554724216,4.4963665535408,-0.8960356561831757,5.0944790284744945,61.32450331125827,97.35099337748345,60900.0
2024-04-08,2024,000500,가온전선,KOSPI,34200.0,90343951200.0,0.8503800746461749,0.7567469982291903,0.6905864825120668,0.697541307270036,0.5793555575490391,3.2181360886962986,4.717914179554205,-0.8111086906930565,5.607022958716554,75.43859649122805,117.83625730994154,60000.0
2024-04-08,2024,010120,LS ELECTRIC,KOSPI,24680.0,145066818800.0,0.8378090409421766,0.7972439263027391,0.7930753957172675,0.716376334828423,0.5253998050912886,3.4515687978153284,5.000409037759764,-0.4011709600823292,5.751091383965323,41.815235008103734,122.44732576985413,35000.0
2024-04-05,2024,000500,가온전선,KOSPI,31800.0,143273278200.0,0.8374427028647041,0.7161284410124671,0.714901759080775,0.7079199394205814,0.5152703302951427,3.2708818686033028,4.788561164543801,-0.4456100135537753,5.798075377171328,81.76100628930818,134.27672955974842,57800.0
2024-04-05,2024,010120,LS ELECTRIC,KOSPI,23720.0,256709818600.0,0.8064748412802571,0.7560698677957547,0.7377711971506293,0.6923701317139537,0.516269324256677,3.258761874171679,4.733477166373394,-0.45883516070484864,5.483401791519187,46.880269814502526,131.45025295109613,34840.0
2024-04-04,2024,103590,일진전기,KOSPI,23200.0,192677740000.0,0.7644469626071345,0.7020028549262572,0.7187796294177643,0.8038486301102928,0.5753755276824235,2.9143737442637074,4.218893569258681,-0.5504007487737672,4.767591987659228,25.64655172413792,30.38793103448276,29150.0
2024-04-03,2024,257720,실리콘투,KOSDAQ,12910.0,22535889650.0,0.812880303272579,0.7859329405158924,0.7522828442952371,0.731780054955994,0.5483183125060674,3.2731865398746782,4.7435953041717145,-0.525748608323112,5.387211470195453,153.29202168861346,319.8295894655306,32700.0
2024-04-01,2024,257720,실리콘투,KOSDAQ,12900.0,70229909100.0,0.8359404599186522,0.7838362445814009,0.7590224676225468,0.7493244699017223,0.5706814708240318,3.3012352726025407,4.794352843906514,-0.5957359466941674,5.5059972450663635,145.73643410852713,320.15503875968994,31700.0
2024-03-28,2024,007660,이수페타시스,KOSPI,43666.0,555002152222.0,0.8244649435151982,0.7447407380925284,0.7561157800161419,0.7763142375653169,0.620352962333488,3.105915793033553,4.506863086776725,-0.7930205565206645,5.142884623484541,-41.3158979526405,32.961571932395906,25625.0
2024-03-28,2024,043260,성호전자,KOSDAQ,2200.0,42992364800.0,0.772148583500461,0.7863185547191949,0.780116883380888,0.7063048994074547,0.5369296701050947,3.202181125750874,4.6027079000062985,-0.49192166832967654,5.036837484479136,-46.18181818181818,10.909090909090914,1184.0
2024-03-27,2024,103590,일진전기,KOSPI,20700.0,115952602500.0,0.786114401092436,0.7221860713008554,0.7764231980406965,0.7869864169529394,0.5494432552404483,3.1191589977883902,4.503037580383243,-0.39682024425566675,5.113927734722118,26.811594202898558,46.135265700483096,26250.0
2024-03-26,2024,103590,일진전기,KOSPI,19300.0,34454051200.0,0.7795203772045907,0.7343637009229766,0.7689971172862727,0.7983095395136345,0.5487520654330172,3.1115996694184753,4.489070208856128,-0.3781441308515445,5.051443444880821,43.78238341968912,56.73575129533679,27750.0
2024-03-25,2024,103590,일진전기,KOSPI,19150.0,45089709100.0,0.7845418572446696,0.7020140355681804,0.7631881852245612,0.7943006565213764,0.5608661699339829,3.048102470442875,4.407327032782322,-0.45254135140260043,5.0410877227767825,43.86422976501305,57.96344647519582,27550.0
