Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2022-08-26,127120,제이에스링크,KOSDAQ,4615.0,2023-05-19,4000.0,-13.3,16.6,중립,일반,35.4,0,67.3,10373047815.0,pullback_recovery,-5.755395683453235,12.60744985673352,-4.263093788063332,-27.35674676524954,-0.8390471302403315,-17.48251748251748,-114653.0,2.0,,18.35,주3건
2022-08-24,082920,비츠로셀,KOSDAQ,7216.0,2023-05-17,9250.0,28.2,52.5,익절,50%+,31.2,0,49.15,5084003936.0,mixed,10.376582798881762,-4.659090909090913,-16.08951118889861,-23.995017551806143,1.386523346822938,-18.332543818095694,-185649.0,383264.0,37.95,7.11,주3건
2022-08-19,044490,태웅,KOSDAQ,13050.0,2023-05-12,14230.0,9.0,19.4,익절,일반,32.6,0,61.76,13568894100.0,persistent_uptrend,31.756756756756754,6.363636363636371,6.363636363636371,-8.59375,2.676583021625358,-20.70175438596491,97102.0,47594.0,152.03,1.35,주3건
2022-08-17,036830,솔브레인홀딩스,KOSDAQ,25400.0,2023-05-10,27500.0,8.3,37.8,익절,일반,42.6,0,45.91,7496352800.0,V_recovery,-13.904761904761909,-20.840630472854638,-32.738095238095234,-50.492880613362544,-4.16045797510136,-33.3941605839416,-6211.0,8666.0,2.39,0.64,주3건
2022-08-17,036830,솔브레인홀딩스,KOSDAQ,25400.0,2023-05-10,27500.0,8.3,37.8,익절,일반,42.6,0,47.2,7496352800.0,V_recovery,-13.904761904761909,-20.840630472854638,-32.738095238095234,-50.492880613362544,-4.16045797510136,-33.3941605839416,-6211.0,8666.0,2.39,0.64,주3건
2022-08-08,082920,비츠로셀,KOSDAQ,6787.0,2023-04-28,8947.0,31.8,62.1,익절,50%+,29.5,0,54.94,6601728474.0,box_breakout,5.828929986789966,-15.045068928950156,-22.324566719185558,-27.4261125580342,-1.4635853581981602,-18.332543818095694,-177233.0,196745.0,37.95,7.11,주3건
2022-08-08,010170,대한광통신,KOSDAQ,2430.0,2023-04-28,1642.0,-32.4,22.3,손절,일반,57.3,1,57.4,12205374840.0,V_recovery,14.12544620091789,28.105323411562686,-14.61274322777566,-27.29044834307992,0.14606405892674626,-23.892267593397044,,,,49.49,주3건
2022-08-08,010170,대한광통신,KOSDAQ,2430.0,2023-04-28,1642.0,-32.4,22.3,손절,일반,57.3,1,58.88,12205374840.0,V_recovery,14.12544620091789,28.105323411562686,-14.61274322777566,-27.29044834307992,0.14606405892674626,-23.892267593397044,,,,49.49,주3건
2022-08-04,039200,오스코텍,KOSDAQ,28673.0,2023-04-26,22600.0,-21.2,3.2,손절,일반,66.5,1,53.89,13587217164.0,mixed,8.331620699576646,-15.741687979539643,-20.869486894646773,-29.82026361336706,0.8229962001925646,-19.731004366812233,195401.0,-245549.0,29.1,9.04,주3건
2022-08-04,039200,오스코텍,KOSDAQ,28673.0,2023-04-26,22600.0,-21.2,3.2,손절,일반,66.5,1,54.65,13587217164.0,mixed,8.331620699576646,-15.741687979539643,-20.869486894646773,-29.82026361336706,0.8229962001925646,-19.731004366812233,195401.0,-245549.0,29.1,9.04,주3건
2022-08-04,039200,오스코텍,KOSDAQ,28673.0,2023-04-26,22600.0,-21.2,3.2,손절,일반,66.5,1,54.23,13587217164.0,mixed,8.331620699576646,-15.741687979539643,-20.869486894646773,-29.82026361336706,0.8229962001925646,-19.731004366812233,195401.0,-245549.0,29.1,9.04,주3건
2022-07-28,009520,포스코엠텍,KOSDAQ,6180.0,2023-04-19,31300.0,406.5,540.8,익절,슈퍼위너,43.1,0,51.1,69424451400.0,pullback_recovery,-17.966573816155986,-15.736766809728186,-31.82870370370371,-34.98896247240618,-5.043974665840945,-33.41836734693877,-122773.0,-4459.0,168.77,6.52,주3건
2022-07-27,214370,케어젠,KOSDAQ,27480.0,2023-04-18,44200.0,60.8,77.9,익절,50%+,32.3,0,51.57,43450551600.0,V_recovery,-0.15785319652722452,101.1128775834658,80.97281831187411,-2.692307692307694,-0.9663373474493093,-30.384615384615387,31247.0,64019.0,204.83,20.31,주3건
2022-07-27,214370,케어젠,KOSDAQ,27480.0,2023-04-18,44200.0,60.8,77.9,익절,50%+,32.4,0,52.36,43450551600.0,V_recovery,-0.15785319652722452,101.1128775834658,80.97281831187411,-2.692307692307694,-0.9663373474493093,-30.384615384615387,31247.0,64019.0,204.83,20.31,주3건
