Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2023-03-24,083450,GST,KOSDAQ,13405.0,2023-12-15,12228.0,-8.8,18.1,중립,일반,35.1,0,60.43,24598255430.0,mixed,18.808653561197275,32.23749312809237,-28.57227699251692,2.0271441615272576,-15.578999018645733,49811.0,107973.0,19.79,3.42,주3건_RF안전
2023-03-24,083450,GST,KOSDAQ,13405.0,2023-12-15,12228.0,-8.8,18.1,중립,일반,35.0,0,53.94,24598255430.0,mixed,18.808653561197275,32.23749312809237,-28.57227699251692,2.0271441615272576,-15.578999018645733,49811.0,107973.0,19.79,3.42,주3건_RF안전
2023-03-17,095610,테스,KOSDAQ,20650.0,2023-12-08,19360.0,-6.2,16.2,중립,일반,37.8,0,70.56,20304236400.0,mixed,3.2369942196531776,-1.3259668508287303,-36.890459363957596,1.6123498303173225,-11.55857740585774,-208420.0,288262.0,38.58,5.58,주3건_RF안전
2023-03-16,171090,선익시스템,KOSDAQ,25650.0,2023-12-07,25550.0,-0.4,77.2,중립,50%+,34.2,0,50.98,15732453150.0,V_recovery,19.75,8.371040723981892,-18.39863713798978,5.349786627466625,-21.294718909710397,280702.0,180704.0,9.39,5.82,주3건_RF안전
2023-03-15,281740,레이크머티리얼즈,KOSDAQ,6680.0,2023-12-06,13610.0,103.7,290.0,익절,슈퍼위너,44.5,0,49.58,18669330800.0,mixed,26.859504132231415,-3.7617554858934144,-11.271676300578036,6.375974899925964,-12.309257375381488,,,174.79,9.98,주3건_RF안전
2023-03-07,397030,에이프릴바이오,KOSDAQ,10229.0,2023-11-28,11200.0,9.5,46.7,익절,일반,28.1,0,70.46,10339309536.0,mixed,14.975168725327892,5.245366592842982,-23.353140916808147,1.3417945162375233,-9.451354953354063,95824.0,-33598.0,,13.37,주3건_RF안전
2023-03-07,397030,에이프릴바이오,KOSDAQ,10229.0,2023-11-28,11200.0,9.5,46.7,익절,일반,28.1,0,70.54,10339309536.0,mixed,14.975168725327892,5.245366592842982,-23.353140916808147,1.3417945162375233,-9.451354953354063,95824.0,-33598.0,,13.37,주3건_RF안전
2023-03-07,397030,에이프릴바이오,KOSDAQ,10229.0,2023-11-28,11200.0,9.5,46.7,익절,일반,29.2,0,78.01,10339309536.0,mixed,14.975168725327892,5.245366592842982,-23.353140916808147,1.3417945162375233,-9.451354953354063,95824.0,-33598.0,,13.37,주3건_RF안전
2023-02-27,368770,파이버프로,KOSDAQ,3350.0,2023-11-21,3410.0,1.8,60.9,익절,50%+,38.1,0,57.94,17877760750.0,mixed,15.291750503018097,-15.859030837004406,-53.2626427406199,4.297953947775091,-16.03206412825652,,,52.97,14.05,주3건_RF안전
2023-02-27,368770,파이버프로,KOSDAQ,3350.0,2023-11-21,3410.0,1.8,60.9,익절,50%+,38.3,0,56.61,17877760750.0,mixed,15.291750503018097,-15.859030837004406,-53.2626427406199,4.297953947775091,-16.03206412825652,,,52.97,14.05,주3건_RF안전
