Date,Code,Name,Market,Close,sell_close,sell_date,return_pct,peak_180d,ret_180d,Score,Amount,chart_pattern
2020-08-03,038500,삼표시멘트,KOSDAQ,3990.0,5710.0,2021-04-27,43.10776942355889,53.63408521303259,43.10776942355889,53.1,24942212190.0,pullback_recovery
2020-08-03,039200,오스코텍,KOSDAQ,27032.0,40113.0,2021-04-27,48.390796093518794,155.35291506362827,48.390796093518794,54.56,20280163296.0,mixed
2020-08-07,290650,엘앤씨바이오,KOSDAQ,45733.0,30600.0,2021-05-03,-33.08989132573853,13.410447598014553,-33.08989132573853,53.84,10717391351.0,new_high_240
2020-08-11,161580,필옵틱스,KOSDAQ,15850.0,12200.0,2021-05-06,-23.02839116719243,11.041009463722396,-23.02839116719243,56.21,83114911550.0,mixed
2020-08-11,027360,아주IB투자,KOSDAQ,1540.0,7020.0,2021-05-06,355.8441558441558,507.1428571428571,355.8441558441558,57.5,10653890940.0,sideways
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,167100.0,2021-05-13,53.30275229357797,127.33944954128442,53.30275229357797,73.12,34104901000.0,mixed
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,167100.0,2021-05-13,53.30275229357797,127.33944954128442,53.30275229357797,65.13,34104901000.0,mixed
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,167100.0,2021-05-13,53.30275229357797,127.33944954128442,53.30275229357797,56.84,34104901000.0,mixed
2020-08-25,007390,네이처셀,KOSDAQ,11250.0,14200.0,2021-05-20,26.222222222222214,63.99999999999999,26.222222222222214,49.41,50786145000.0,sideways
2020-08-25,007390,네이처셀,KOSDAQ,11250.0,14200.0,2021-05-20,26.222222222222214,63.99999999999999,26.222222222222214,45.07,50786145000.0,sideways
2020-08-25,039200,오스코텍,KOSDAQ,29783.0,35817.0,2021-05-20,20.259879797199744,131.7664439445321,20.259879797199744,48.93,12816012079.0,persistent_uptrend
2020-09-03,039200,오스코텍,KOSDAQ,32583.0,37507.0,2021-05-31,15.11217506061444,111.84973759322348,15.11217506061444,58.33,45548525109.0,mixed
2020-09-10,056190,에스에프에이,KOSDAQ,36250.0,42850.0,2021-06-07,18.20689655172414,30.482758620689655,18.20689655172414,55.4,59433252500.0,sideways
2020-09-11,140860,파크시스템스,KOSDAQ,67100.0,141800.0,2021-06-08,111.3263785394933,139.49329359165424,111.3263785394933,56.85,32063869200.0,mixed
2020-09-11,140860,파크시스템스,KOSDAQ,67100.0,141800.0,2021-06-08,111.3263785394933,139.49329359165424,111.3263785394933,52.99,32063869200.0,mixed
2020-09-14,080220,제주반도체,KOSDAQ,3300.0,6080.0,2021-06-09,84.24242424242425,142.42424242424244,84.24242424242425,58.12,7934190000.0,mixed
2020-09-18,043260,성호전자,KOSDAQ,940.0,1540.0,2021-06-15,63.829787234042556,144.14893617021275,63.829787234042556,55.66,10525509000.0,persistent_uptrend
2020-09-18,043260,성호전자,KOSDAQ,940.0,1540.0,2021-06-15,63.829787234042556,144.14893617021275,63.829787234042556,49.51,10525509000.0,persistent_uptrend
2020-09-22,290650,엘앤씨바이오,KOSDAQ,46333.0,31100.0,2021-06-17,-32.877214943992406,11.941812531025398,-32.877214943992406,55.81,15369582760.0,mixed
2020-09-23,078350,한양디지텍,KOSDAQ,5720.0,7200.0,2021-06-18,25.874125874125873,30.069930069930063,25.874125874125873,46.21,19247502560.0,sideways
2020-09-24,031330,에스에이엠티,KOSDAQ,2280.0,4120.0,2021-06-21,80.70175438596492,94.95614035087718,80.70175438596492,49.5,11929422840.0,sideways
2020-09-28,290650,엘앤씨바이오,KOSDAQ,45700.0,34200.0,2021-06-23,-25.164113785557984,13.492341356673965,-25.164113785557984,56.67,5276384900.0,mixed
2020-09-29,027360,아주IB투자,KOSDAQ,2375.0,6860.0,2021-06-24,188.8421052631579,293.6842105263158,188.8421052631579,56.22,273110911500.0,new_high_240
2020-09-29,027360,아주IB투자,KOSDAQ,2375.0,6860.0,2021-06-24,188.8421052631579,293.6842105263158,188.8421052631579,52.39,273110911500.0,new_high_240
2020-10-08,058610,에스피지,KOSDAQ,7320.0,11700.0,2021-06-30,59.836065573770504,91.25683060109289,59.836065573770504,60.22,15749031240.0,sideways
2020-10-08,058610,에스피지,KOSDAQ,7320.0,11700.0,2021-06-30,59.836065573770504,91.25683060109289,59.836065573770504,66.32,15749031240.0,sideways
2020-10-08,058610,에스피지,KOSDAQ,7320.0,11700.0,2021-06-30,59.836065573770504,91.25683060109289,59.836065573770504,68.66,15749031240.0,sideways
2020-10-12,031330,에스에이엠티,KOSDAQ,2475.0,4145.0,2021-07-01,67.47474747474746,79.5959595959596,67.47474747474746,65.01,17175497625.0,sideways
2020-10-12,031330,에스에이엠티,KOSDAQ,2475.0,4145.0,2021-07-01,67.47474747474746,79.5959595959596,67.47474747474746,56.89,17175497625.0,sideways
2020-10-12,031330,에스에이엠티,KOSDAQ,2475.0,4145.0,2021-07-01,67.47474747474746,79.5959595959596,67.47474747474746,68.6,17175497625.0,sideways
2020-10-20,058610,에스피지,KOSDAQ,7780.0,11000.0,2021-07-09,41.38817480719794,79.94858611825192,41.38817480719794,48.56,10553943440.0,mixed
2020-10-20,058610,에스피지,KOSDAQ,7780.0,11000.0,2021-07-09,41.38817480719794,79.94858611825192,41.38817480719794,52.38,10553943440.0,mixed
2020-10-20,058610,에스피지,KOSDAQ,7780.0,11000.0,2021-07-09,41.38817480719794,79.94858611825192,41.38817480719794,50.32,10553943440.0,mixed
2020-10-28,052400,코나아이,KOSDAQ,28000.0,43200.0,2021-07-19,54.28571428571429,77.49999999999999,54.28571428571429,52.53,6452404000.0,mixed
2020-10-28,112040,위메이드,KOSDAQ,20914.0,30865.0,2021-07-19,47.580568040547,57.72688151477479,47.580568040547,59.69,24130677770.0,mixed
2020-10-28,112040,위메이드,KOSDAQ,20914.0,30865.0,2021-07-19,47.580568040547,57.72688151477479,47.580568040547,58.89,24130677770.0,mixed
2020-11-04,094170,동운아나텍,KOSDAQ,8454.0,6438.0,2021-07-26,-23.846699787083036,34.82375207002602,-23.846699787083036,42.56,13764811254.0,persistent_uptrend
2020-11-04,094170,동운아나텍,KOSDAQ,8454.0,6438.0,2021-07-26,-23.846699787083036,34.82375207002602,-23.846699787083036,45.84,13764811254.0,persistent_uptrend
2020-11-05,060370,LS마린솔루션,KOSDAQ,5099.0,6301.0,2021-07-27,23.573249656795458,56.26593449696018,23.573249656795458,48.52,7661946063.0,mixed
2020-11-09,033500,동성화인텍,KOSDAQ,10900.0,12450.0,2021-07-29,14.220183486238525,33.02752293577982,14.220183486238525,59.88,34888436600.0,mixed
2020-11-12,214150,클래시스,KOSDAQ,16650.0,24000.0,2021-08-03,44.144144144144136,53.753753753753756,44.144144144144136,55.46,41266026000.0,mixed
2020-11-13,095610,테스,KOSDAQ,28500.0,30300.0,2021-08-04,6.315789473684208,32.28070175438595,6.315789473684208,44.64,35130496500.0,box_breakout
2020-11-18,183300,코미코,KOSDAQ,43400.0,71800.0,2021-08-09,65.43778801843318,72.81105990783409,65.43778801843318,55.37,13671781200.0,V_recovery
2020-11-18,014620,성광벤드,KOSDAQ,7360.0,9500.0,2021-08-09,29.076086956521728,54.21195652173913,29.076086956521728,61.9,32825850240.0,pullback_recovery
2020-11-18,014620,성광벤드,KOSDAQ,7360.0,9500.0,2021-08-09,29.076086956521728,54.21195652173913,29.076086956521728,62.05,32825850240.0,pullback_recovery
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,8103.0,2021-08-12,89.72137672676187,162.23366892999297,89.72137672676187,68.33,102672115102.0,mixed
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,8103.0,2021-08-12,89.72137672676187,162.23366892999297,89.72137672676187,60.55,102672115102.0,mixed
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,8103.0,2021-08-12,89.72137672676187,162.23366892999297,89.72137672676187,74.68,102672115102.0,mixed
2020-12-03,263750,펄어비스,KOSDAQ,47700.0,70000.0,2021-08-25,46.75052410901468,84.48637316561845,46.75052410901468,53.9,12462483600.0,mixed
2020-12-03,263750,펄어비스,KOSDAQ,47700.0,70000.0,2021-08-25,46.75052410901468,84.48637316561845,46.75052410901468,62.28,12462483600.0,mixed
2020-12-03,263750,펄어비스,KOSDAQ,47700.0,70000.0,2021-08-25,46.75052410901468,84.48637316561845,46.75052410901468,68.37,12462483600.0,mixed
2020-12-08,036810,에프에스티,KOSDAQ,24773.0,26542.0,2021-08-30,7.140838816453399,43.64832680741129,7.140838816453399,53.77,35612401377.0,V_recovery
2020-12-10,095340,ISC,KOSDAQ,23300.0,25700.0,2021-09-01,10.300429184549365,28.755364806866957,10.300429184549365,59.46,51615511400.0,sideways
2020-12-11,006730,서부T&D,KOSDAQ,6565.0,8204.0,2021-09-02,24.96572734196496,36.6031987814166,24.96572734196496,58.12,17698373420.0,box_breakout
2020-12-15,077360,덕산하이메탈,KOSDAQ,4350.0,7325.0,2021-09-06,68.39080459770115,99.42528735632183,68.39080459770115,63.99,9339363000.0,mixed
2020-12-15,077360,덕산하이메탈,KOSDAQ,4350.0,7325.0,2021-09-06,68.39080459770115,99.42528735632183,68.39080459770115,72.46,9339363000.0,mixed
2020-12-15,077360,덕산하이메탈,KOSDAQ,4350.0,7325.0,2021-09-06,68.39080459770115,99.42528735632183,68.39080459770115,78.9,9339363000.0,mixed
2020-12-24,094170,동운아나텍,KOSDAQ,10421.0,5790.0,2021-09-15,-44.43911332885519,9.375299875251898,-44.43911332885519,56.93,9867363533.0,persistent_uptrend
2020-12-24,052020,에스티큐브,KOSDAQ,7931.0,7680.0,2021-09-15,-3.1647963686798675,26.301853486319505,-3.1647963686798675,59.49,19782087094.0,sideways
2020-12-24,052020,에스티큐브,KOSDAQ,7931.0,7680.0,2021-09-15,-3.1647963686798675,26.301853486319505,-3.1647963686798675,57.33,19782087094.0,sideways
2020-12-30,023160,태광,KOSDAQ,7660.0,11550.0,2021-09-23,50.78328981723237,76.2402088772846,50.78328981723237,72.73,20456796000.0,box_breakout
2020-12-30,023160,태광,KOSDAQ,7660.0,11550.0,2021-09-23,50.78328981723237,76.2402088772846,50.78328981723237,66.94,20456796000.0,box_breakout
2020-12-30,023160,태광,KOSDAQ,7660.0,11550.0,2021-09-23,50.78328981723237,76.2402088772846,50.78328981723237,69.26,20456796000.0,box_breakout
2021-01-04,058610,에스피지,KOSDAQ,9400.0,11200.0,2021-09-24,19.14893617021276,48.93617021276595,19.14893617021276,66.67,17983008400.0,new_high_240
2021-01-04,058610,에스피지,KOSDAQ,9400.0,11200.0,2021-09-24,19.14893617021276,48.93617021276595,19.14893617021276,74.48,17983008400.0,new_high_240
2021-01-04,058610,에스피지,KOSDAQ,9400.0,11200.0,2021-09-24,19.14893617021276,48.93617021276595,19.14893617021276,57.23,17983008400.0,new_high_240
2021-01-12,037460,삼지전자,KOSDAQ,13400.0,11700.0,2021-10-05,-12.686567164179108,28.73134328358209,-12.686567164179108,58.69,36544908800.0,mixed
2021-01-12,037460,삼지전자,KOSDAQ,13400.0,11700.0,2021-10-05,-12.686567164179108,28.73134328358209,-12.686567164179108,69.29,36544908800.0,mixed
2021-01-13,009520,포스코엠텍,KOSDAQ,5110.0,7100.0,2021-10-06,38.94324853228963,142.66144814090018,38.94324853228963,54.6,34275253460.0,mixed
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,68056.0,2021-10-12,14.719169307531521,52.26215359719506,14.719169307531521,57.44,121786595544.0,new_high_240
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,68056.0,2021-10-12,14.719169307531521,52.26215359719506,14.719169307531521,53.88,121786595544.0,new_high_240
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,68056.0,2021-10-12,14.719169307531521,52.26215359719506,14.719169307531521,61.59,121786595544.0,new_high_240
