Date,grade,Name,Code,Market,Close,ChangeRatio,avg_score,n_presets,ret_120d,ret_180d,ret_240d,ret_365d
2022-08-10,V,태광,023160,KOSDAQ,16350,18.0,77.2,3,-4.4,10.5,29.1,-21.8
2022-08-09,S,하이록코리아,013030,KOSDAQ,20150,11.0,69.4,4,5.2,6.7,36.5,24.3
2022-07-22,S,아이센스,099190,KOSDAQ,17965,10.6,71.0,4,-6.4,-9.4,26.6,57.0
2022-07-14,S,네이처셀,007390,KOSDAQ,21350,10.6,65.3,4,-27.2,1.6,-62.4,-63.2
2022-06-14,V,시노펙스,025320,KOSDAQ,3016,19.8,77.3,3,-21.9,-16.7,-10.8,40.4
2022-06-09,S,현대로템,064350,KOSPI,22850,8.6,65.2,4,40.0,9.2,36.8,15.3
2022-05-26,S,OCI홀딩스,010060,KOSPI,98140,14.9,70.8,4,-16.6,-22.8,-3.0,5.2
2022-05-19,S,HD현대에너지솔루션,322000,KOSPI,27150,12.0,71.2,4,124.7,102.2,49.2,-15.3
2022-05-18,S,서연이화,200880,KOSPI,8260,13.5,70.4,4,-6.3,10.2,84.7,78.5
2022-05-17,S,솔브레인,357780,KOSDAQ,267400,12.9,68.3,4,-20.4,-11.6,-17.9,-8.6
2022-05-02,S,켄코아에어로스페이스,274090,KOSDAQ,15100,9.8,67.2,4,-7.0,-14.2,18.6,-28.1
2022-04-26,S,동아지질,028100,KOSPI,20700,7.2,68.0,4,-38.2,-37.9,-41.2,-40.8
2022-04-25,S,팜스코,036580,KOSPI,8400,14.4,72.6,4,-55.4,-52.6,-57.3,-63.4
2022-04-22,S,조일알미늄,018470,KOSPI,2630,12.4,66.6,4,-6.1,-13.7,22.2,-12.7
2022-04-01,S,한국화장품,123690,KOSPI,9560,7.7,66.9,4,-23.0,-21.2,-17.9,13.3
2022-04-01,S,한국화장품제조,003350,KOSPI,6300,7.1,65.3,4,-30.2,-26.8,-6.8,-9.2
2022-03-24,S,하림,136480,KOSDAQ,3355,8.2,68.4,4,-17.1,-17.3,-5.1,-14.6
2022-03-24,S,파이버프로,368770,KOSDAQ,3495,10.8,66.3,4,-5.7,-32.6,-21.3,6.4
2022-03-11,S,한전KPS,051600,KOSPI,44350,11.8,68.5,4,-11.2,-22.2,-26.8,-23.2
2022-03-04,S,방림,003610,KOSPI,3325,9.7,69.1,4,37.1,148.4,94.3,-35.5
2022-02-24,S,극동유화,014530,KOSPI,4555,14.4,73.3,4,-14.2,-16.9,-19.9,-6.1
2022-01-20,S,디와이파워,210540,KOSPI,14600,10.2,67.5,4,-19.5,-30.8,-18.5,15.3
2022-01-18,S,한미글로벌,053690,KOSPI,12800,10.3,65.9,4,-17.2,145.3,150.0,128.1
