n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
172,17200000,10881955.658168092,28081955.658168092,63.26718405911682,63.267184059116815,108.7017416811656,21,56,91,64.53488372093024,OOS,weekly_2,F02_slope05,S01_거래대금낮,F02_slope05__S01_거래대금낮
172,17200000,8282833.879202794,25482833.879202794,48.15601092559764,48.156010925597634,92.49576655241604,24,54,83,61.627906976744185,OOS,weekly_2,F02_slope05,S02_거래대금높,F02_slope05__S02_거래대금높
172,17200000,8542556.87928276,25742556.879282758,49.66602836792302,49.66602836792303,100.92123775670265,26,52,87,63.372093023255815,OOS,weekly_2,F02_slope05,S03_점수낮,F02_slope05__S03_점수낮
172,17200000,7472374.529708559,24672374.529708557,43.444037963421856,43.444037963421856,86.11289851123523,19,49,86,68.02325581395348,OOS,weekly_2,F02_slope05,S04_점수높,F02_slope05__S04_점수높
172,17200000,5011492.342019146,22211492.34201915,29.13658338383225,29.13658338383224,63.805543715086756,12,28,61,62.2093023255814,OOS,weekly_2,F02_slope05,S05_변동성낮,F02_slope05__S05_변동성낮
172,17200000,10626308.507530553,27826308.507530555,61.78086341587531,61.78086341587531,113.54184423941622,31,66,100,69.76744186046511,OOS,weekly_2,F02_slope05,S06_변동성높,F02_slope05__S06_변동성높
172,17200000,11007336.321336165,28207336.321336165,63.996141403117235,63.99614140311724,113.44170171239264,29,65,93,66.86046511627907,OOS,weekly_2,F02_slope05,S07_slope강한,F02_slope05__S07_slope강한
172,17200000,8945441.882871792,26145441.88287179,52.00838303995228,52.00838303995228,95.19787991631384,19,50,91,66.27906976744185,OOS,weekly_2,F02_slope05,S08_외인매수강,F02_slope05__S08_외인매수강
172,17200000,10260775.844516147,27460775.844516147,59.65567351462876,59.65567351462877,107.44935101256151,28,49,89,68.02325581395348,OOS,weekly_2,F02_slope05,S09_52주고점근접,F02_slope05__S09_52주고점근접
172,17200000,9628169.681637468,26828169.681637466,55.97773070719458,55.97773070719458,102.7916779450431,21,49,88,62.2093023255814,OOS,weekly_2,F02_slope05,S10_랜덤,F02_slope05__S10_랜덤
170,17000000,11172077.276790164,28172077.276790164,65.71810162817744,65.71810162817744,110.80711700738635,23,54,89,63.52941176470588,OOS,weekly_2,F03_slope10,S01_거래대금낮,F03_slope10__S01_거래대금낮
170,17000000,7583684.249671563,24583684.249671564,44.60990735100919,44.6099073510092,89.18469434765822,19,48,84,60.588235294117645,OOS,weekly_2,F03_slope10,S02_거래대금높,F03_slope10__S02_거래대금높
170,17000000,8037943.045355925,25037943.045355923,47.28201791385838,47.28201791385838,99.4497488247823,20,51,88,64.11764705882354,OOS,weekly_2,F03_slope10,S03_점수낮,F03_slope10__S03_점수낮
170,17000000,7674588.761610448,24674588.76161045,45.144639774179105,45.144639774179105,85.5301278210097,13,45,82,61.76470588235294,OOS,weekly_2,F03_slope10,S04_점수높,F03_slope10__S04_점수높
170,17000000,6056471.198465541,23056471.19846554,35.62630116744436,35.62630116744435,72.72091243706862,12,32,68,60.0,OOS,weekly_2,F03_slope10,S05_변동성낮,F03_slope10__S05_변동성낮
170,17000000,10065516.747491531,27065516.74749153,59.208922044067826,59.20892204406784,108.39497935192746,25,59,96,65.88235294117646,OOS,weekly_2,F03_slope10,S06_변동성높,F03_slope10__S06_변동성높
170,17000000,10751758.179899335,27751758.179899335,63.24563635234903,63.245636352349045,112.14995297329425,27,63,91,66.47058823529412,OOS,weekly_2,F03_slope10,S07_slope강한,F03_slope10__S07_slope강한
170,17000000,7965602.275076823,24965602.27507682,46.856483971040134,46.856483971040134,87.69885349790191,13,42,84,58.235294117647065,OOS,weekly_2,F03_slope10,S08_외인매수강,F03_slope10__S08_외인매수강
170,17000000,9173130.627097968,26173130.627097968,53.9595919241057,53.9595919241057,102.33953440945591,21,48,83,62.94117647058823,OOS,weekly_2,F03_slope10,S09_52주고점근접,F03_slope10__S09_52주고점근접
170,17000000,7702230.084844999,24702230.084845,45.30723579320588,45.30723579320587,92.14499492755868,18,45,84,62.35294117647059,OOS,weekly_2,F03_slope10,S10_랜덤,F03_slope10__S10_랜덤
119,11900000,4589200.866967708,16489200.866967708,38.564713167795865,38.564713167795865,80.8859812560658,10,32,67,68.0672268907563,OOS,weekly_2,F04_외인25,S01_거래대금낮,F04_외인25__S01_거래대금낮
119,11900000,4530661.157319619,16430661.15731962,38.07278283461865,38.07278283461865,75.79900017922908,9,29,60,60.50420168067227,OOS,weekly_2,F04_외인25,S02_거래대금높,F04_외인25__S02_거래대금높
119,11900000,4343710.748878361,16243710.74887836,36.501770998977825,36.50177099897781,76.06173350127256,8,32,60,65.54621848739495,OOS,weekly_2,F04_외인25,S03_점수낮,F04_외인25__S03_점수낮
119,11900000,3566487.705934582,15466487.705934582,29.970484923820017,29.970484923820013,70.74143551600777,7,24,61,62.18487394957983,OOS,weekly_2,F04_외인25,S04_점수높,F04_외인25__S04_점수높
119,11900000,3647536.7736276486,15547536.773627648,30.651569526282763,30.651569526282756,67.47708050528539,7,20,52,61.34453781512605,OOS,weekly_2,F04_외인25,S05_변동성낮,F04_외인25__S05_변동성낮
119,11900000,4512597.054263802,16412597.054263802,37.92098364927565,37.92098364927564,80.84676214934676,9,35,67,64.70588235294117,OOS,weekly_2,F04_외인25,S06_변동성높,F04_외인25__S06_변동성높
119,11900000,4829263.094564046,16729263.094564047,40.58204281146257,40.58204281146257,79.1392374858624,13,32,59,60.50420168067227,OOS,weekly_2,F04_외인25,S07_slope강한,F04_외인25__S07_slope강한
