Date,Code,Name,Market,Close,Amount,Score,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,YYYYMM
2022-04-08,031330,에스에이엠티,KOSDAQ,4525.0,5831697825.0,66.88,mixed,0.11904761904761862,-20.809792843691145,-28.607809847198638,1.0133283652416156,-12.514757969303425,4.8618784530386705,-38.34254143646408,2022-12-28,2790.0,,,,,5.1,2.11,1558900000000.0,2022,2022-04
2022-04-08,031330,에스에이엠티,KOSDAQ,4525.0,5831697825.0,61.96,mixed,0.11904761904761862,-20.809792843691145,-28.607809847198638,1.0133283652416156,-12.514757969303425,4.8618784530386705,-38.34254143646408,2022-12-28,2790.0,,,,,5.1,2.11,1558900000000.0,2022,2022-04
2021-12-28,127120,제이에스링크,KOSDAQ,4115.0,5906625735.0,60.63,box_breakout,2.0618556701030855,-19.512195121951216,-60.59701492537313,0.2574465469100202,-23.9240506329114,30.74119076549211,7.53341433778858,2022-09-22,4425.0,6170.0,-6833.0,21207.0,-6834.0,,18.35,1364100000000.0,2021,2021-12
2025-05-16,102710,이엔에프테크놀로지,KOSDAQ,28700.0,5930309700.0,54.76,mixed,10.20833333333333,79.56551255940258,-20.09063444108762,2.2748183410832175,-10.693069306930692,122.9965156794425,103.83275261324042,2026-02-09,58500.0,40812.0,79261.0,98296.0,177194.0,12.64,1.55,720100000000.0,2025,2025-05
2022-08-30,213420,덕산네오룩스,KOSDAQ,33750.0,5979690000.0,51.22,downtrend,-23.218673218673214,-21.679197994987465,-56.59722222222222,-2.495184807784736,-27.743526510480887,51.11111111111111,31.703703703703702,2023-05-23,44450.0,-57462.0,38314.0,39400.0,-160723.0,21.45,2.5,1141000000000.0,2022,2022-08
2022-05-10,023160,태광,KOSDAQ,11850.0,6018046200.0,54.52,box_breakout,12.254901960784315,4.566210045662111,-13.584905660377355,1.4020367423182751,-10.18181818181818,70.46413502109705,37.38396624472573,2023-01-31,16280.0,-345658.0,118141.0,-564606.0,383971.0,16.04,1.6,999800000000.0,2022,2022-05
2023-03-27,122640,예스티,KOSDAQ,10030.0,6032814310.0,48.0,mixed,27.0718232044199,13.440197287299638,-20.68965517241379,4.568935260083758,-6.512890094979651,165.20438683948154,77.96610169491525,2023-12-18,17850.0,64798.0,47823.0,54330.0,65488.0,684.09,4.62,644700000000.0,2023,2023-03
2023-03-27,122640,예스티,KOSDAQ,10030.0,6032814310.0,56.36,mixed,27.0718232044199,13.440197287299638,-20.68965517241379,4.568935260083758,-6.512890094979651,165.20438683948154,77.96610169491525,2023-12-18,17850.0,64798.0,47823.0,54330.0,65488.0,684.09,4.62,644700000000.0,2023,2023-03
2025-01-22,032500,케이엠더블유,KOSDAQ,9730.0,6136672080.0,58.32,mixed,20.287958115183248,-23.09623430962343,-49.72647702407003,1.6887208308526647,-18.78453038674033,58.78725590955807,35.457348406988686,2025-10-23,13180.0,231281.0,-254392.0,288551.0,68125.0,,10.84,1534400000000.0,2025,2025-01
2025-08-04,089890,코세스,KOSDAQ,11140.0,6178945820.0,48.72,persistent_uptrend,42.46575342465753,45.45454545454546,-25.179856115107913,5.277342156777903,-17.002518891687657,346.14003590664277,325.4937163375224,2026-04-30,47400.0,-24618.0,0.0,71947.0,-175726.0,51.26,8.8,676700000000.0,2025,2025-08
2022-09-02,127120,제이에스링크,KOSDAQ,5110.0,6274492350.0,55.76,mixed,7.023809523809521,41.79810725552051,-16.91312384473198,1.0334255965555168,-17.48251748251748,5.283757338551864,-28.375733855185914,2023-05-26,3660.0,185965.0,-1.0,120933.0,1.0,,18.35,1364100000000.0,2022,2022-09
