Date,Name,Code,Market,Close,ChangeRatio,Score,pos_252_high,past_120,slope60,chart_pattern,s10,s12,is_first_pullback,new_high_252,ret_180d,ret_365d
2022-01-13,알루코,001780,KOSPI,4385.0,26.92,60.73,-40.737564322469986,-30.830830830830834,-3.4102128523747584,pullback_recovery,48.6,100,True,False,-49.25883694412771,13.568985176738883
2022-01-10,우리기술,032820,KOSDAQ,2185.0,24.86,45.8,-43.82022471910112,-37.05035971223022,-6.560713650422149,pullback_recovery,45.0,70,True,False,-35.24027459954233,-32.90617848970251
2022-01-06,002630,002630,?,1405.0,14.23,65.17,-47.43589743589743,-7.86516853932584,-2.014364193937273,pullback_recovery,34.6,100,True,False,-56.58362989323843,-49.11032028469751
2021-12-28,차AI헬스케어,025620,KOSPI,20462.0,10.88,40.61,-56.247036510194405,-36.22352006082179,-5.146053349820363,pullback_recovery,39.4,40,False,False,-28.677548626722704,-66.4744404261558
2021-12-27,제일약품,271980,KOSPI,37800.0,12.84,59.08,-50.662739322533135,-25.223214285714292,-1.9427991362682018,pullback_recovery,33.9,100,False,False,-50.264550264550266,-49.65608465608465
2021-12-22,제일약품,271980,KOSPI,36600.0,18.26,44.99,-55.785714285714285,-28.932261768082668,-2.832259836226446,pullback_recovery,37.7,70,True,False,-46.44808743169399,-48.442622950819676
2021-12-20,신성이엔지,011930,KOSPI,23050.0,8.47,53.8,-46.406052963430014,-26.724137931034488,-3.5964833936412814,pullback_recovery,27.5,70,True,False,0.8676789587852495,-3.036876355748373
2021-11-26,티씨케이,064760,KOSDAQ,136000.0,3.34,47.33,-45.82132564841499,-23.26530612244898,-2.0756090578772204,pullback_recovery,27.3,70,True,False,-14.26470588235294,-24.264705882352942
2021-11-24,씨젠,096530,KOSDAQ,62700.0,12.97,44.4,-48.9913147373742,-18.02067946824224,-4.456817872880125,pullback_recovery,34.6,100,True,False,-42.503987240829346,-63.476874003189785
2021-03-15,007460,007460,?,6600.0,14.62,63.73,-51.08732585796806,-7.9456434852118285,-1.953413883143562,pullback_recovery,33.7,70,True,False,-33.71212121212121,-35.984848484848484
2021-02-19,021050,021050,?,2690.0,8.03,57.39,-43.728813559322035,-29.059829059829056,-4.629852193963511,pullback_recovery,29.0,70,True,False,-25.8364312267658,-43.68029739776952
2020-10-30,삼성E&A,028050,KOSPI,11750.0,12.98,46.24,-46.253229974160206,-10.344827586206895,-2.6786418926182822,pullback_recovery,34.3,70,True,False,94.04255319148936,105.95744680851065
